,epsilon=1.0,epsilon=3.0,epsilon=9.0
DER Private Graph,165.04558592961303,152.77246848219573,149.1103434089106
DER Reconstruction,78.64103600264804,78.74114493788991,78.71852337978304
TmF Private Graph,140.26760010563848,139.62474437511017,136.41973005166867
TmF Reconstruction,78.59394092529877,78.59000723204181,78.6826184129
TriCycLe Private Graph,144.93550781556,140.93889220265967,139.81950290488723
TriCycLe Reconstruction,78.77949850974066,78.66780174489753,78.65589376944159
LDPGen Private Graph,278.2423084195042,151.12243311939852,141.7964501160398
LDPGen Reconstruction,78.5483414670514,78.76452071898734,78.82500198344859
CAGMDP Private Graph,150.16537275001178,141.66341613410017,139.60981387236023
CAGMDP Reconstruction,78.82821785531921,78.64751361031753,78.59347481843393
DPGVAE Private Graph,140.66243757270368,140.63844356046607,140.62869165423544
DPGVAE Reconstruction,78.52799580832576,78.7310277743839,78.69958013735395
DPGGAN Private Graph,140.62611099900533,140.6890498503631,140.70596704212844
DPGGAN Reconstruction,78.85593570173702,78.62989268718061,78.72867419883298
PrivGraph Private Graph,133.53413989560846,136.28699414293357,136.61557893267093
PrivGraph Reconstruction,78.60725310362237,78.63992657976777,78.73547889221884
