epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,3.5285503032974906e-05,8.123606586870472e-05,8.499201306752389e-05,2.8084776397487382e-05,5.756498676133665e-05,3.59119051572194e-05,5.987769144594644e-05,5.9835099231474836e-05,4.070703686143334e-05,6.195051570843391e-05
0.75,3.115169760339014e-05,8.124955165024565e-05,8.504419608351826e-05,2.299791120908813e-05,5.896277591980953e-05,3.305013058481858e-05,5.9867577329311115e-05,5.982145008378252e-05,4.071640472156808e-05,6.198634830653732e-05
1.0,2.9940862354535577e-05,8.116770690623247e-05,8.49706837101644e-05,1.9488745937243527e-05,4.963260898055281e-05,3.1183790231052e-05,5.988289579722472e-05,6.005814987164115e-05,4.122890544539922e-05,6.19556141916173e-05
1.5,2.9373569265651655e-05,8.116158766950592e-05,8.501998664384931e-05,1.5117045225278383e-05,1.8908399306452635e-05,2.6330938917089348e-05,5.9592409529880685e-05,5.999211352759007e-05,4.2436979104721065e-05,6.195630162755213e-05
2.0,2.93816237449918e-05,8.102416034431906e-05,8.498678757290146e-05,1.2862906340016511e-05,1.4117267808248663e-05,2.144695793424286e-05,5.9579717786433006e-05,6.034350543418725e-05,4.414393468714903e-05,6.195684584766722e-05
3.0,2.9484055243586697e-05,8.041640145666758e-05,8.495791496264896e-05,1.0790687787369846e-05,1.5175621527250676e-05,1.7500030991678047e-05,6.114585928882031e-05,6.172258487647469e-05,4.8874039657494235e-05,6.194619059067723e-05
4.5,3.0001926047239762e-05,7.627148169205186e-05,8.500392816257734e-05,1.073198554639712e-05,1.5140302542086517e-05,1.3096964754798115e-05,6.254317870429938e-05,6.254467491021326e-05,4.4582586979165266e-05,6.190654845176825e-05
6.5,3.049477426840941e-05,5.300775809165586e-05,8.501725715682405e-05,9.659183312345413e-06,1.5376303750369244e-05,1.1862336471580943e-05,6.276429730700574e-05,6.276229753827813e-05,4.001874980407523e-05,6.192533836732048e-05
9.0,3.109714192999322e-05,1.5362296446721303e-05,8.503150267539985e-05,1.0205377542142007e-05,1.639170707745257e-05,8.772724111153436e-06,6.262774744483456e-05,6.281568088879284e-05,4.1080870651844904e-05,6.194484436197151e-05
12.0,3.127253627210391e-05,5.281509862026924e-06,8.504516392710862e-05,1.0419440119103461e-05,1.631341884126588e-05,1.2191088100327735e-05,6.293036519717354e-05,6.299078046339619e-05,2.983686234194084e-05,6.195466896720689e-05
16.0,3.155038359142101e-05,1.2042842723246937e-06,8.503406964610931e-05,1.0385084602925136e-05,1.641272988303396e-05,1.1042537518414963e-05,6.294061081409226e-05,6.299494576443366e-05,3.486190985988468e-05,6.197225586987316e-05
20.0,3.161643032201006e-05,1.0674863846074298e-05,8.502424182028793e-05,1.0339530724077589e-05,1.6314555643711655e-05,1.1819294356983071e-05,6.293447369337714e-05,6.297741231170137e-05,3.165938269925755e-05,6.194177954342868e-05
