epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,18.200004597993235,18.184354870076803,18.19523806879184,18.23633332196014,18.445511703178102,18.26369104350006,18.26204251167425,18.001036487384518,18.17475764024485,18.298782797969995
0.75,17.96468204265908,18.184150965313776,18.19525659448489,18.218025627596496,18.309407641518884,18.244979026944197,17.939113364522036,18.2629548348942,18.170889179487716,18.29876180779704
1.0,17.576039320219476,18.18427472774973,18.195293640330217,18.208558740993002,18.26010147534885,18.2395076889654,18.259328483471812,17.96929627560401,18.16619390352582,18.298745078890416
1.5,16.963736156990965,18.184230249162436,18.1953238683717,18.19693942385508,18.200280256518724,18.215720779259573,18.26009677329417,18.018939543658792,18.16279889533501,18.29877617741002
2.0,16.810664001350673,18.18426258356215,18.19524664225089,18.19026330555306,17.571912425951385,18.203211071013456,18.258016439992314,17.97637958617888,18.162288726098264,18.298781123351272
3.0,17.245874985102965,18.184140196751244,18.195188531775724,18.185045687708076,16.0878909882139,18.189381245350734,18.281025263855092,18.296548352473543,17.462331532297036,18.298768472914382
4.5,17.309271456646854,18.183242460644387,18.195356182523245,18.182022096151965,15.474652961965287,18.180395393375466,18.33209817701601,18.340772847950433,16.926859829579826,18.298787618698146
6.5,17.22446939381549,18.178340685418735,18.195305387291437,18.17656434751765,16.137339583557388,18.170554073091736,18.35304389704637,18.35944890800936,17.794914201012105,18.298790442656074
9.0,17.662145328013693,18.009434779942264,18.19532374035222,18.176241066908577,15.200823039049569,18.164354346811457,18.357707680928385,18.36775160017786,17.194274131453742,18.298759021835593
12.0,16.828435929815488,14.372511830418967,18.19519210322621,18.17623000298629,16.36949600174714,18.169860286808785,18.352554709461714,18.366732093404103,16.617194522322368,18.298756691738767
16.0,16.745575488936716,6.564017711573232,18.19514958198181,18.175264610710055,16.11909934358209,18.17116363159795,18.353086678182414,18.36439292431902,16.723667026069805,18.298783039599613
20.0,16.830661833241898,17.650005331377233,18.195219149115623,18.175983770583688,16.615791486574818,18.173432844605607,18.353794613204723,18.365901395445057,17.04717212589708,18.298789208089794
