epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,47.06589815342464,2505.139433047193,2700.2555576090895,39.515976756606435,53.933475624724835,45.44536041204746,45.372669619935664,44.46656816087804,337.8493794232272,370.3472747917017
0.75,40.932889120887864,2468.5550184984527,2705.0636449554,34.62652299709622,60.05633344477286,41.32169494925583,45.37266961993567,44.46656816087804,353.10342542025336,377.60147456320055
1.0,39.353399409789986,2386.9500346325876,2705.097829977427,30.07455140890975,51.05942748383652,39.835906437763605,43.842703753132,45.282452199663105,398.5938060060663,374.2915201155139
1.5,38.47235579505217,2250.0993144517574,2718.960582232514,23.291969268545337,33.90242093674993,32.193560589009685,43.65466424735803,44.39051848563935,458.86287806595726,374.25919204867887
2.0,38.80152257737796,2008.6858361480697,2717.7162711544584,23.41682560758398,27.409834492867997,25.92611063273512,44.17688098901572,45.92868857765647,441.87831222339383,377.650893357898
3.0,41.57594337702974,1459.9475769876537,2728.2734562403284,21.258517115881162,22.7382044257327,26.548037201793438,46.421610478571075,47.810726265549995,137.1403857458586,376.67883388642065
4.5,45.08363576578078,785.703995536581,2740.8270516023827,14.27573810505861,23.740743415306298,26.76509082823009,49.37043063387489,49.526484981572096,90.022786085529,376.48998058041997
6.5,51.66513104291288,311.5028326976217,2780.0265858177686,12.253542183763985,23.460645388464236,26.901476462811832,49.981899781085666,50.17198219607102,55.620557973875606,375.5429103794116
9.0,60.57831195749757,73.41716045657914,2762.84293599699,12.896682462693036,25.152829977213614,23.3871839610685,50.0646292163466,50.361461971056535,65.24983415185487,375.31812456605985
12.0,66.47702199780848,22.447998642806553,2789.3056272264653,10.31448029975617,25.169221745552527,13.209230579447569,50.12004120130795,50.41017029844802,55.005490990883295,378.80253102392294
16.0,69.84662851784796,4.737745719091853,2775.2523310705765,10.534404381701432,25.128740230067947,14.410194961746875,50.12004120130794,50.41017029844802,47.803055783999675,376.6889135513357
20.0,70.19944717431653,48.15438542944435,2774.118680785473,11.510523955129576,25.086793616068096,24.59041540980001,50.120041201307956,50.41017029844802,54.84853803762852,372.27055625938317
