epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,0.0003433051159012448,3.008457520893549e-09,1.7193157763834477e-05,0.00036278989244491823,0.010779032418216832,0.0007625187665134894,0.0,0.0,3.577015972099665e-05,0.001732582130220791
0.75,0.00022931536830683133,2.1236170735751058e-09,1.718360148700339e-05,0.00022986597502251858,0.002140909392457353,0.000492080555112397,0.0,0.0,3.577210153578424e-05,0.0017325859055400332
1.0,0.0001944845679277907,1.533723442025863e-09,1.7181064944387735e-05,0.00016526636949548,0.0006070954017592037,0.00035916867909494617,0.0,0.0,3.383786170570932e-05,0.0017326000039978272
1.5,0.00017020413312771856,1.120797899943019e-09,1.7175166008072253e-05,0.00010064706152114771,9.44363664213909e-05,0.0002256390332162957,0.0,0.0,3.126674248445e-05,0.001732596169689222
2.0,0.00016012580043271504,7.66861721015642e-10,1.717416318889862e-05,6.956261660670745e-05,1.8695380885935503e-05,0.00016101300045456382,0.0,0.0,3.203112792042466e-05,0.001732598411285022
3.0,0.00014885328707000506,5.898936315519533e-10,1.71659636674201e-05,3.9580682889631104e-05,8.593393456306876e-06,9.775440012012406e-05,0.0,0.0,2.6264119562583742e-05,0.0017325803605398968
4.5,0.00013734511120149146,4.1292554208826463e-10,1.7179236274129936e-05,2.351905908983267e-05,1.4996216911858961e-05,5.308529476475691e-05,0.0,0.0,4.224583236232006e-05,0.0017325799476143543
6.5,0.00012612958156358903,3.5393617893279826e-10,1.7181064944387738e-05,9.947336371989863e-06,1.634801715791515e-05,3.3465019653916744e-05,0.0,0.0,4.122841130866648e-05,0.0017326038972957955
9.0,0.00011733061017668755,2.949468157773319e-10,1.7181536859292973e-05,4.066872216242996e-06,1.9333350848455034e-05,1.6403172212464932e-05,0.0,0.0,4.9231733365088366e-05,0.0017325944589976908
12.0,0.00011203548898245696,2.949468157773319e-10,1.715658435867848e-05,2.0230513337867802e-06,1.9539813619496964e-05,9.057108840067038e-06,0.0,0.0,4.4063659753266065e-05,0.0017325823661782438
16.0,0.00010933389412869183,2.949468157773319e-10,1.7169326061119922e-05,3.3014764155283807e-07,1.969318596369953e-05,3.4516446062788517e-06,0.0,0.0,5.51028140895466e-05,0.0017325941640508747
20.0,0.0001084892844270409,2.949468157773319e-10,1.717097776328826e-05,1.4738334593391873e-06,1.9780903146710772e-05,5.513971731535031e-06,0.0,0.0,4.048801565397255e-05,0.0017325958747424063
