epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,0.32428367623823595,0.1058067750910215,0.10757814797004878,0.43098745448924913,,0.6535457237068076,0.01032957340111286,0.010861451535343816,0.005966177783884041,
0.75,0.22840419042385104,0.10576040049460739,0.10758407810675276,0.27360132754001504,,0.4976053427904101,0.0103176152366559,0.01096428522360376,0.01252057772892766,
1.0,0.19760391220718548,0.10588065535481211,0.10759047709005976,0.18776477124407503,0.7251271450161435,0.3891691883629869,0.011498820155251766,0.012587789379679875,0.022601779212749876,
1.5,0.17595213127704884,0.1058935288864464,0.1076008226282888,0.10625501820430035,0.06332904444597101,0.24574984028302532,0.009735862471663116,0.012362506010853877,0.034723222504636934,
2.0,0.16698338084770212,0.10575608470151815,0.10758844198667307,0.07185088273682765,0.012170363055574644,0.1526444665796524,0.009789310984406118,0.014473311808751797,0.04330361509926495,
3.0,0.15633222332898258,0.1057450350346912,0.10760469190080374,0.042787925053238994,0.003543956515765607,0.08153400941127982,0.017776277735797208,0.024245335577385445,0.07003504671292161,
4.5,0.14414512777357974,0.10485464209658583,0.10752973483547434,0.027724325066978098,0.010496877790753584,0.045086676513017794,0.03473147626571408,0.034348435460603136,0.05907091261935838,
6.5,0.13203192965583566,0.09844836676513018,0.10758710929449748,0.01751816651782648,0.011406086418904985,0.025171759291062724,0.040086679947791436,0.03712019303427904,0.03651654530466441,
9.0,0.12229463831833483,0.05539622861853403,0.10753289310984405,0.012207602871470777,0.017315027134711815,0.01213634162258708,0.039295258294978354,0.0412998299787044,0.018990720958988794,
12.0,0.11667491756543244,0.009870100295390526,0.10762831627395752,0.010411137253554997,0.01750145119186645,0.00908354571683727,0.040670646424400624,0.0430614360788624,0.03774788589681939,
16.0,0.1136544480318747,0.0011899532870783753,0.10758807103111902,0.008594959469670956,0.01751260218451603,0.005167883149000485,0.04073357319502645,0.04307925224977673,0.029935057017242556,
20.0,0.112642692519063,0.03504868619907947,0.10761323761764098,0.007693798516177794,0.017501387648553954,0.002858458130109229,0.0406362368619908,0.04305043449886652,0.034815971697465135,
