epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,0.29040200544165323,0.38765897900622837,0.3425136178633126,0.42490774650104346,0.6529713224420148,0.35780557346176933,0.33323434139224445,0.3370534462402294,0.38806671907738155,0.6004147137911068
0.75,0.2499148409735533,0.38785758216198324,0.34234824663159014,0.36349696436375417,0.6087628242619683,0.37706014483017164,0.33323434139224445,0.3370534462402294,0.3829578184521021,0.6007310530292505
1.0,0.24486785015413465,0.3876682145561551,0.3435207537057134,0.33208349138959464,0.5507559345562095,0.39084774576219405,0.33999364442207347,0.35247585817947874,0.3798413271954682,0.6001873005320273
1.5,0.24672831545707502,0.3877373220490364,0.34253394213947885,0.2822272804840681,0.4380355781207918,0.30695574818425264,0.3350753466869987,0.35221705630412636,0.37487121003989243,0.6051266314312644
2.0,0.2517967121279666,0.3876605930087207,0.3426482358539373,0.2560841699522607,0.38116828015874665,0.2863567279494906,0.3605865173584185,0.3652101146354413,0.36934340304183844,0.6004043755965819
3.0,0.2603788054758891,0.38751535414884497,0.3431620194071096,0.2422432392578575,0.3485193198529303,0.27804082892837667,0.3932888811778584,0.4276068313200551,0.24232409087844944,0.6005178720288276
4.5,0.27546827136127244,0.3879716158209639,0.34217788268881033,0.22923240419280022,0.3401308072721485,0.24653770982583142,0.46151903129699956,0.45865095511577436,0.21612711180614566,0.6035833664233712
6.5,0.28646756464537904,0.3823691918170681,0.34218754380479793,0.21393069899077283,0.33816118240752846,0.22460547419015517,0.43123568067186147,0.42554081414905515,0.18135477965462285,0.6003656044554181
9.0,0.2977647002969905,0.21708124034120505,0.3423602685686447,0.2144017785562424,0.3287157801348046,0.2108836370797014,0.4376541409985394,0.4517063822059745,0.19469976012145992,0.6005246596095516
12.0,0.29940451125563855,0.054421811122434154,0.3428134722825288,0.21353767757352166,0.32861333282328387,0.1977553957708809,0.4486032378549512,0.4462429314096389,0.061112511930195984,0.6006038558488901
16.0,0.30807619856997326,0.009139154068037914,0.3424160853503275,0.21497968488309488,0.32750701736764876,0.20261925324555788,0.4486032378549512,0.44624293140963883,0.06942544456537067,0.6050509520431953
20.0,0.3046217222064292,0.15512598968649652,0.33196211461995695,0.21379067480281097,0.3314341364041164,0.19570885954100126,0.4486032378549513,0.446242931409639,0.03539645088595489,0.6004105808861347
