epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,0.021639877955657947,6.254030630774635e-07,0.000264655860928018,0.0038552123678935305,0.32859133110420063,0.00840746505621699,0.0,0.0,0.00112868521387032,0.00896336253965638
0.75,0.017935848606350585,4.414609857016777e-07,0.0002593338034892841,0.0023150998156388335,0.13563249893528195,0.004849436665125232,0.0,0.0,0.0007348641489921964,0.008963301225630589
1.0,0.01558389162819518,3.188329341178783e-07,0.0002560964229274734,0.0016060812193287985,0.07057564427858593,0.0033071927115772286,0.0,0.0,0.0006643851061129322,0.008963105020748052
1.5,0.013046104100669784,2.3299329800930547e-07,0.0002538155411680156,0.000907859237740217,0.030944722830559553,0.0017672051141783664,0.0,0.0,0.0005886666836471715,0.008963141809163529
2.0,0.011707471763971413,1.594164670590259e-07,0.0002509092563454813,0.0006124245985440637,0.019216146778910575,0.0010154583695545947,0.0,0.0,0.0006025979898165766,0.008963117283553212
3.0,0.01042600862492138,1.2262805158397284e-07,0.0002507253142681057,0.0003076656102702913,0.01155385560375247,0.0004913951283063444,0.0,0.0,0.0003789412168647585,0.00896327670002027
4.5,0.009523282223187716,8.583963610891976e-08,0.000250847942319689,0.00013430633070876143,0.008433339575101161,0.00013448618417188327,0.0,0.0,0.00035730193933802346,0.008963252174409953
6.5,0.008797508099889379,7.357683095062656e-08,0.00024954808497290175,6.624794002241426e-05,0.007274492224829703,2.998255861222307e-05,0.0,0.0,0.00036223653749845107,0.008963215385994478
9.0,0.008270109375638051,6.131402579233336e-08,0.00024886136788403266,1.525288986804416e-05,0.006676557845307412,9.503673997739403e-05,0.0,0.0,0.00034708854007992074,0.008963031443917103
12.0,0.007934316981986309,6.131402579233336e-08,0.0002490453099614084,2.8721102656377107e-05,0.006423784642577857,0.00013523421528654228,0.0,0.0,0.0001998624302031427,0.008963166334773844
16.0,0.007754764988857402,6.131402579233336e-08,0.00024846895811896525,5.631262737758323e-05,0.006182354534619801,0.00015647339382084523,0.0,0.0,0.00020881282575888651,0.008963178597579004
20.0,0.007702022663871239,6.131402579233336e-08,0.00024807654835389686,6.776803719486976e-05,0.006104632875526029,0.00017701359246112091,0.0,0.0,0.00029160673540239683,0.008963227648799636
