epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,4.438532779531719e-05,4.0070885455434886e-05,4.321179172591173e-05,-3.3843598928961e-05,-6.351989459534188e-05,0.00010349855514283253,-2.311106022805712e-05,-5.359217810482971e-05,3.1425627709113452e-06,-2.4897441384228208e-05
0.75,-9.559392181631477e-05,-9.784607545457627e-06,-5.06968048277606e-05,7.625912488994529e-05,6.559269953455618e-06,0.00022948172239994666,3.073438625420087e-05,-5.359217810482971e-05,-9.14407393870729e-05,4.1033355355517356e-05
1.0,-6.190493608875192e-05,9.694073554887925e-06,0.00015444296295533878,0.0002851553714788173,-0.0001236062621925883,0.00018262501083814232,-0.0001574660831836936,-7.982779968434977e-05,-0.0001090847744585062,-4.4529265811380956e-05
1.5,4.514970483771285e-06,9.04489708829521e-05,2.1833003916684267e-05,0.00019906277947267817,0.00010680897825353251,5.1344184971571786e-05,-0.0001843572564941324,-0.00014625613294140207,0.0004248216964414962,-1.0368201825294802e-05
2.0,-4.047391737497309e-05,-2.1038488912693246e-05,4.336270125821294e-05,0.0002951504917805288,2.036702800420976e-05,0.00029731960709218885,-0.00023618889668770385,-0.0002563241634596364,0.00044932052299565846,4.1993882597280365e-05
3.0,9.730922755177308e-05,-4.123118288743751e-05,9.394290856122961e-06,0.00044555546098812434,9.30934117037937e-05,0.00014941817834432717,9.74925314794711e-05,1.7084004569768298e-05,0.001280851579215381,2.9997250068429876e-05
4.5,7.54664783590559e-05,-2.241098195398712e-05,4.20585787680349e-05,0.0004679302698156582,-2.4000341934244808e-05,0.000204197448325915,0.00017521755649543646,-0.00023761702198032758,0.00578821914793121,3.112680076162953e-05
6.5,-3.572151284780064e-05,0.004983299961374321,2.5910934983254472e-05,0.0004350815465608454,0.00014945152521957873,6.211714573978332e-05,-6.247006408862482e-05,0.0001735899677981935,0.02027747342257682,6.038968557784461e-05
9.0,-6.208466075071774e-05,0.24496501783580182,-4.5030669863889564e-05,0.0004900742010068305,-0.00027176308123807,0.00026257331981111785,-5.1681484356999037e-05,-0.00016189832378377778,0.04646176030438481,-5.55479808539698e-05
12.0,1.6071823813960428e-05,0.4149608541270598,7.628850208693507e-05,0.00043596036741937996,5.99661510939723e-05,0.0004009409954348818,9.793115387499618e-05,-5.7032512515936326e-05,0.07407721757030802,0.00013167184136127894
16.0,0.00012750414212070292,0.14841643960667486,7.806299863572523e-06,0.00034708700249658794,-0.00022425160493507162,0.00029426895319151843,0.00012031654176417674,-5.703251251593631e-05,0.09412993269492734,-6.9803445904817585e-06
20.0,-5.476437857320104e-05,0.2535318903805323,-1.8186745996974018e-05,0.0003061227586130777,-4.709123055130637e-05,0.0002796942549790078,0.00012031654176417674,-5.7032512515936326e-05,0.09730018703411387,-0.00011230159670498521
