epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,1.9928534800782472e-05,9.599101636047134e-05,9.924340356391873e-05,1.4939076107192279e-05,4.767912517331975e-05,3.056021467068295e-05,4.779483832777096e-05,4.682176490433106e-05,7.646333767420728e-05,7.306802079390548e-05
0.75,1.9610990006428677e-05,9.572465722706787e-05,9.921978196390304e-05,1.2532377691358548e-05,3.789176976166643e-05,2.341601310598526e-05,4.7707973021774165e-05,4.679086345326715e-05,7.683332522148069e-05,7.305077889318113e-05
1.0,1.9810624697143327e-05,9.544843996203665e-05,9.919498497127018e-05,1.2742140981401821e-05,3.962899069257652e-05,2.0399761562628514e-05,4.769451288051318e-05,4.6171090301008637e-05,7.51400918073981e-05,7.305384242861453e-05
1.5,1.9732177473975874e-05,9.462638553195543e-05,9.922368730066326e-05,1.2777044662861418e-05,3.4558794072453276e-05,1.5025965354828711e-05,4.773884265556359e-05,4.608046281764733e-05,7.686306121972598e-05,7.306260123844433e-05
2.0,1.972614079973275e-05,9.331176576350485e-05,9.915767573464825e-05,1.2650750041549986e-05,2.912079107402688e-05,1.4959247787330725e-05,4.840410877825652e-05,4.6822371558584776e-05,7.471757779928488e-05,7.30614571458194e-05
3.0,1.952986873593638e-05,8.820824893571248e-05,9.921591454303369e-05,1.31707671817903e-05,2.189296292997026e-05,1.5230475000693341e-05,4.9070821803419006e-05,4.73174393457521e-05,7.058134505906464e-05,7.308703674196768e-05
4.5,1.9247774507819418e-05,7.046186787479178e-05,9.922239816037347e-05,1.4426048581019558e-05,1.7918871745246387e-05,1.3268817675596352e-05,5.114212487794241e-05,5.120589503921938e-05,6.84236968792988e-05,7.303779794862941e-05
6.5,1.8672035881432733e-05,3.577982333166061e-05,9.921629370194247e-05,1.5728200033764908e-05,1.6124094311757565e-05,1.5488755170490843e-05,5.540983137046081e-05,5.4862508260159347e-05,5.689838751856805e-05,7.306614550852098e-05
9.0,1.828118470171877e-05,1.0220910871645268e-05,9.918755345665848e-05,1.6300361572292783e-05,1.5836650094396374e-05,1.7895078438437214e-05,5.6117757424747764e-05,5.564561390088541e-05,5.202189910274381e-05,7.303443478039892e-05
12.0,1.847110539911622e-05,3.2330500991004945e-06,9.92002931959928e-05,1.6263486620617157e-05,1.6209176799383575e-05,1.8756157066724754e-05,5.617920610501007e-05,5.6164044562291994e-05,4.504450366965042e-05,7.308804325273725e-05
16.0,1.8520926879727388e-05,1.649326086747021e-05,9.920298522424499e-05,1.630227417049702e-05,1.7044435534901057e-05,1.918957361532753e-05,5.6180318207090134e-05,5.616038585146064e-05,4.070410557658385e-05,7.30396902904102e-05
20.0,1.859091961428443e-05,1.040161800755996e-05,9.922376313244501e-05,1.634068212867975e-05,1.7358811027974304e-05,1.7477367815152727e-05,5.619914989017052e-05,5.614664031846905e-05,4.573127295949137e-05,7.303437499574429e-05
