epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,6.041937828668732,266.60452366658916,1059.3785185618474,3.622929033902097,3.4905550400873033,5.258171004555225,7.033431163492605,6.195017897986128,167.73374240491117,350.7908380512874
0.75,5.890291975133157,240.19967911534377,1065.5331518709274,3.234575124891594,2.8070678908544933,4.332411111065371,7.033431163492606,6.195017897986128,115.93148660942255,340.6131988465438
1.0,6.192344759118505,215.4157362432641,1065.5285847919552,2.9368239702287697,2.431545575647123,4.458121495303023,6.406250974037234,6.974290409422127,83.35972570768804,347.6451802038643
1.5,6.899696021405366,170.27673396710426,1071.3798359689836,3.1406432815723493,2.1758221245698537,3.4889844565349826,6.918349220477019,5.15066133737551,31.661313643769066,350.5385411777914
2.0,7.13353196251329,132.90995857381697,1071.3783136093261,2.7098525774686064,2.0433266052910026,3.471562513513309,7.027615593990489,5.924619685273399,22.106932646945193,352.45250974093756
3.0,7.186028389938252,79.61992110064276,1068.2133333895185,2.27999775507938,1.7876601511780852,2.346810093985037,7.093297125981672,6.705779088156932,15.260947948058387,343.5159778653553
4.5,7.149757316658688,37.26310624678908,1059.5392791049105,2.3083007420698523,1.5052864740741554,2.509838394539659,6.4644937053628215,7.051477170165198,11.534480120935507,348.9427335814386
6.5,7.146896012288407,11.776004802813006,1051.4112661771908,2.401683653371507,1.3609920023477917,2.267793774491011,6.64683823632178,6.030801716127899,11.059747215585224,348.85671802884315
9.0,7.026417655831941,2.159032214677213,1062.9045095138863,2.395935021001856,1.202870105057427,2.747848197599178,7.024879632957799,6.600073250434479,10.260614995353773,346.671960637085
12.0,6.975268131649828,0.6343055053697425,1059.441094830914,2.607452238635019,1.1114810591864175,2.8701200861069305,6.657133770604516,6.996511454109813,9.932891524501889,346.43266200388723
16.0,6.978041338361197,4.0191606505444515,1059.2719190219664,2.542600959927733,1.0568867713941974,3.247327245309746,6.657133770604515,6.996511454109813,10.077382696902095,346.8811031285531
20.0,6.904974187247009,2.1788110611609968,1074.419423783122,2.4114782050547396,1.04410437085574,2.272660549882047,6.657133770604515,6.996511454109812,8.821378032297272,348.5213483575117
