epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,0.0009880408988608145,7.176769388527512e-09,2.643373030953057e-05,0.0005211207046067753,0.03663921360056902,0.001114813360748599,0.0,0.0,3.566408075475732e-05,0.0014521076940385604
0.75,0.0006287367837504996,5.065954862489053e-09,2.6487344998491854e-05,0.0003245190174890131,0.009647438248648745,0.0007046401095878632,0.0,0.0,2.993351177977736e-05,0.0014521492067242389
1.0,0.0005213277051512951,3.658745178467026e-09,2.6474961553272438e-05,0.0002285160769836573,0.0035182433126053694,0.0005054690038773697,0.0,0.0,2.758748422956103e-05,0.0014521406227451664
1.5,0.0004587559858302428,2.673698399653776e-09,2.6466377574199893e-05,0.00013585793317625594,0.0012440421732299043,0.00030691257232682754,0.0,0.0,4.496428431818046e-05,0.0014521285207418837
2.0,0.0004389932737487918,1.8293725892416444e-09,2.6496773303374787e-05,9.240034299328838e-05,0.0006985426866151773,0.00021205912610201111,0.0,0.0,4.796710329011451e-05,0.0014521493474452074
3.0,0.00042313950872762004,1.407209684038289e-09,2.646426675967386e-05,4.8955417697477085e-05,0.00040033004695929085,0.0001247070240115734,0.0,0.0,8.72187416290984e-05,0.0014521210625305584
4.5,0.0004097379473018267,9.850467788349338e-10,2.655066943427287e-05,2.7022506841325775e-05,0.00028178177794329696,6.195043624555613e-05,0.0,0.0,0.00010058944728477177,0.0014521290836257577
6.5,0.0003970926203602274,8.443258104338155e-10,2.6513941261519877e-05,1.0663460282072552e-05,0.0002428017882539223,3.269975359054829e-05,0.0,0.0,6.276797195163565e-05,0.0014521368232790195
9.0,0.0003861477656008015,7.036048420326971e-10,2.652674686964448e-05,1.9076328357021835e-06,0.0002081122401701654,1.890140972939074e-05,0.0,0.0,7.152584800184124e-05,0.0014521275356951051
12.0,0.00037873289633374736,7.036048420326971e-10,2.6544196269726364e-05,4.240342709548918e-06,0.00017781797081348611,3.59922020882572e-06,0.0,0.0,6.02236664800071e-05,0.0014521359789532089
16.0,0.00037402071398582784,7.036048420326971e-10,2.6539411756800688e-05,7.072644982041518e-06,0.00014245366568624025,3.139062642150149e-06,0.0,0.0,3.4719935711826e-05,0.0014521240176708949
20.0,0.0003726201181873198,7.036048420326971e-10,2.6495225372722376e-05,9.12753413213305e-06,0.0001363152763235634,1.3085642851730106e-05,0.0,0.0,3.603668499114664e-05,0.0014521302093935045
