epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,0.125829407116542,0.3174754755404431,0.3546685228303261,0.07805739427514738,0.37140445304722103,0.08185450052505801,3.4516255361014503,3.1827866522051522,0.22135717615654,0.08149910398735694
0.75,0.0912909143082721,0.31718103314160806,0.3545938002847721,0.05738389390011642,0.35454135541804976,0.05625245309106568,3.451625536101359,3.1827866522050616,0.23208088533288518,0.08150273044641716
1.0,0.0748491059548288,0.3168017361227888,0.35461002161480676,0.046195931919636425,0.32243999229855347,0.032323820041532655,3.6192687594337927,3.3146835491910474,0.2550009093325663,0.08150546912192815
1.5,0.060333877601891094,0.31574815517407695,0.3546189621001886,0.022379032371383886,0.3044369565339104,0.03759276458371783,3.6186061034214623,2.9360770871830657,0.29455035754027986,0.08150198378157786
2.0,0.053891748101488855,0.3140062192498011,0.3545772617021416,0.01297953610254398,0.26307123264723126,0.017499174151396294,3.9826323135774477,3.3206825411786713,0.31765139124390296,0.08150462827315895
3.0,0.048305716479092174,0.30715128796349284,0.35460853733384334,0.005271325063487943,0.20859092899562798,0.017907694782958013,4.257184229429117,3.432767867374632,0.37062533383377905,0.0815025420857968
4.5,0.04376005286830464,0.28012131245518657,0.354490670574271,0.01454182369031394,0.17213582758419124,0.013788139882943654,4.949332798539529,4.694778650108426,0.28626138715489013,0.08150632222286908
6.5,0.040142905651065174,0.18614922271702047,0.3545326115391281,0.03111842040042146,0.15499249177413324,0.026656296546409428,8.22724750215537,7.248612043199234,0.3853717914199628,0.08150548846027048
9.0,0.03706159265816268,0.04064167573882419,0.3545017045877197,0.035416613638506046,0.14472228546588053,0.04158349120952655,9.73548877712284,8.640798555154058,0.4072062748225876,0.08150480724888531
12.0,0.03465403460300935,0.011124404303022268,0.35446461969413434,0.04039843055126703,0.1390991420692656,0.04466174087882513,9.926793004671692,9.853020205278817,0.47309948239464616,0.08150127625602557
16.0,0.03302933378187162,0.08149806967653732,0.3544410801410806,0.041001116849308426,0.13424726009140828,0.051926503273847804,9.926793004672138,9.853020205278773,0.5645473201331879,0.08150340765859058
20.0,0.032715077261722895,0.04110865904709693,0.3544672486991989,0.0446832744947751,0.13376640317123697,0.04664108736049231,9.926793004672284,9.853020205278565,0.560452515652693,0.08150144664209824
