epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,-0.00016126124515221735,0.00011420275426388726,8.308729228691841e-05,-6.89988669638501e-05,-5.2171434122704194e-05,-0.0003532739871508545,-0.0003669226107821916,2.6368761968444858e-05,-0.00010705087714028563,-9.750764213513264e-05
0.75,-9.752337385566306e-05,0.00011902224521177562,3.597566070869499e-05,0.00014334633045712922,9.401794100407821e-05,0.0006328572596403599,-0.00028329257131010956,-0.00010551465039233674,-0.00010713064737489767,0.00012348391423351493
1.0,-0.0001321475978212912,2.5085038718500392e-05,-0.0001373272751307293,0.0001376924669350035,0.0002197998038125688,-0.00010724875861469553,-3.132802512263031e-05,-6.645738099604324e-05,1.4964389889625855e-05,-0.0001960554527565374
1.5,5.398063638351091e-07,6.478019862348876e-05,-0.00016202265851126803,0.0005769770132686378,4.986625343553338e-05,0.0005977128219486087,-0.00012497724005868443,-0.0007487463468469086,-1.0977157747781367e-05,-5.9915173105143716e-05
2.0,-0.00010236382806923568,0.00026315173869115375,5.346669142770863e-05,0.00023386341830341522,7.423258675182741e-06,0.0002368506160545587,0.00039924730367544024,-0.00015415228027706887,0.00016569879231815798,0.0001421145134893014
3.0,0.0001731453647696964,0.0005433078467911208,2.789927305374292e-05,0.0004233896847335176,8.738328146200189e-05,0.000439666742038085,-0.00024372477526339424,-0.00016060244873889232,0.0013278736855850462,5.95695044890023e-05
4.5,-0.0003333596498957245,0.0014288009438172874,-0.00012433054326926182,0.0007221616402758971,3.11721096813846e-05,0.0009473848429398094,-0.00019207643923220758,0.0003221117638088541,0.011564764223896127,-0.00018927245063172734
6.5,8.635878273908125e-05,0.149237930064536,-2.0572142321581436e-05,0.00015846845387398713,-0.0001888541043973575,0.002927813918964866,-2.2679904082551964e-05,0.0005218954998886629,0.030525781981335195,0.00011940654638832936
9.0,-0.00025901230134569447,0.5102767456614088,3.7729660302477664e-06,0.0004296837712401691,-0.00024861058203881007,0.00722579782256474,6.761773349666571e-05,0.00026710797074647603,0.05485293181428584,-7.763674314673089e-05
12.0,5.695520128314331e-05,0.7707315650650719,-1.3453642007194946e-05,3.2655832161380336e-05,-0.00014049113643393007,0.014977170524825062,0.0002520948066450458,0.00015653646949481318,0.06711216141898313,0.0004310806272867202
16.0,-1.2189463080624907e-05,0.3577574395223982,0.0002178914535002375,0.0002572655682221035,-0.0001616041699361864,0.034696762967010776,0.0002520948066450458,0.00027667919527375496,0.07807830223044432,-0.0001846884917719825
20.0,0.0001518966065993476,0.43114146801923003,-7.106833639952722e-05,0.00043810973711862975,0.00019065044852525204,0.0505946644063521,0.00025209480664504586,0.0001479466273316453,0.08368103915279772,0.00014555154915023397
