epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,0.11957783854566979,0.019393339654205578,0.011759447201233855,0.14909902887969842,0.3514945143590543,0.1675211886692858,0.11172454938591878,0.1155013850136764,0.052974393488821304,0.07853554840524611
0.75,0.09837767690106444,0.01939986240923515,0.01176034209198113,0.12503531320118044,0.3158515391579133,0.15098415292236506,0.11172454938591878,0.11550138501367636,0.04964829330664143,0.07855303757130619
1.0,0.09020952504505625,0.01940262376638778,0.011757258729258318,0.10929891211167775,0.2634351801809139,0.13857161488843497,0.11329530737700877,0.11763372674288333,0.04884367361519355,0.07855661760767618
1.5,0.08487202115448417,0.019414666031958527,0.011763251233101587,0.09089890963392074,0.1643127192488101,0.11398320478958283,0.11341113802936778,0.11577866126019988,0.04218810437094768,0.0785695539945561
2.0,0.08314510554694375,0.019439585780245135,0.011757521961998578,0.08216263036243412,0.13837905167698122,0.10051145707097119,0.11222288188534005,0.12098945808757362,0.042583171901925246,0.0785480959516571
3.0,0.0812935845504169,0.019531528584114416,0.01176477581383559,0.07212711111270736,0.11184087157110637,0.07678170137539106,0.1149230301182677,0.1188257212751497,0.04042908888244246,0.07851613464799533
4.5,0.07985146005518086,0.019993497552853973,0.01175743834517139,0.06653014508512911,0.09759785652278923,0.06470343462145584,0.11676096503661144,0.12171918608277435,0.02653300389731863,0.07855527556876622
6.5,0.07822902709166743,0.023307828280752563,0.011766590363902723,0.06164158781059976,0.09005279650535297,0.05789021688649411,0.1295904904711963,0.11841382116312216,0.021228860415061807,0.07852212615782694
9.0,0.07685209014274523,0.015366526195095888,0.011755879261574047,0.05884986143818281,0.08698670384009312,0.04932213630863254,0.13083649076400045,0.120949581934989,0.017509745880811445,0.07857049564247129
12.0,0.07594810285181315,0.005123651673892864,0.011751970736346151,0.057017974919422,0.08353888141742047,0.04443453180145478,0.12502675793507706,0.12030627265806237,0.02162795803128152,0.07856452356481605
16.0,0.07542401292864848,0.02096113049125356,0.011744212076702626,0.05521953733530623,0.08272729391157312,0.041060400242113486,0.12502675793507706,0.12030627265806236,0.0258668724462158,0.0785559633761624
20.0,0.07529452356473383,0.018746377445942392,0.011750680118422794,0.055305239148155716,0.08243193747481845,0.03420640185484798,0.1250267579350771,0.12030627265806236,0.020787974673294504,0.07854272711787114
