epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,36.44099384194751,340.7561300612235,351.4513244989306,20.149469002663373,32.898149059250784,25.218866944539084,29.508706988125194,30.023254793633452,65.41518080231343,229.27547318087915
0.75,36.70510594188251,340.82064619025573,351.4015549136772,18.616057178015254,28.233965418585374,24.143732515988106,29.50870698812519,30.023254793633452,74.46046945293934,223.8837215472699
1.0,36.83954920440083,339.0284495696719,351.41353648049744,15.94457152111753,25.813782512705956,22.93157593224127,29.83600260307857,29.88692656436797,76.53557166373287,224.38186017171557
1.5,35.62019674745691,335.89363356753483,347.77384370015955,16.216505560057296,23.02853521799391,20.259648729571783,29.009857369345863,30.57518357488322,90.38194212749337,219.82732449234115
2.0,37.69539092114628,320.7035994972769,347.82176996744056,14.629943261287451,21.2135698490789,17.255798002447214,28.606603288710804,29.28561788036899,93.47871622382263,227.4905126908686
3.0,37.16997887637658,264.7497044006257,347.9093275711273,14.265283689535142,15.33253234182098,19.785738970605877,29.512041414035846,30.99647495245935,94.55111765583648,228.6178971343821
4.5,39.06998985134038,156.46296478274658,347.8125533775789,15.425774063919457,13.280509134248552,18.780383321210238,30.86819203325504,30.80008325884903,32.838554804686744,224.87887864823347
6.5,39.311718039722685,55.62939229345673,349.84467561866546,13.244963828006712,11.838775182734476,16.191202948309698,30.519897460972178,30.44369471704128,21.736238741258074,224.2751363467826
9.0,39.37199815076775,14.155783769716527,353.50673781227266,14.80225237468732,11.492599930933267,12.908536295136594,31.106005356109126,30.406922197461846,14.128670389779925,221.3452284163741
12.0,40.92685663430465,5.2202556419560935,349.7312668768696,15.40722969844041,10.237854292653596,8.813519235810611,31.016800273084144,29.51587497025079,12.238765222037616,229.40773923888491
16.0,40.109624429681986,24.878084512031005,349.55493572641285,15.817947600758004,10.087185944013324,12.626080957977434,31.016800273084147,29.515874970250785,10.888721746741393,226.7299058088196
20.0,40.35107371590258,19.21618830387351,346.06275307035924,20.45203791879296,9.932089281172836,13.332082629438613,31.016800273084147,29.515874970250785,10.61495369178591,221.0933538146441
