epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,0.002360955048639872,1.755057559693651e-07,0.00013013923869594957,0.0027620132313445297,0.1668892974387585,0.005856915288695222,0.0,0.0,0.00021885317661968546,0.0009006645680307801
0.75,0.0015812518006546436,1.2388641597838557e-07,0.0001306279017811976,0.0017402565742735538,0.03917238918669807,0.0037746249687231515,0.0,0.0,0.0002008455782370959,0.0009007437176854329
1.0,0.0013282585327801391,8.947352265104057e-08,0.0001306760798318559,0.001247591269531554,0.013266277057653571,0.002736886192302309,0.0,0.0,0.00020351416704646256,0.0009007678067107621
1.5,0.0011614557975332565,6.538449732191969e-08,0.00013092729395314536,0.0007533326478284984,0.003499708660445091,0.001702020899454131,0.0,0.0,0.00016942801504259437,0.0009007540415534311
2.0,0.0011011299955304534,4.4736761325525706e-08,0.000130906646217149,0.0005136468458036713,0.001770584657162927,0.001211045735367109,0.0,0.0,0.00016215315030297415,0.0009008779279694094
3.0,0.0010336566355835651,3.4412893327334136e-08,0.0001310546216584565,0.0002889650652695584,0.0009965526539980419,0.0007080246324737407,0.0,0.0,0.0001558556376855238,0.0009008056608934221
4.5,0.0009720024958983273,2.408902532914257e-08,0.0001310683868157874,0.0001605017344786495,0.0007163525526589535,0.000391147269426388,0.0,0.0,0.00016186088668031115,0.0009007265112387692
6.5,0.00091057548130905,2.0647735996415664e-08,0.00013109935841978203,7.535972144413542e-05,0.000590332537294285,0.00021082370839119866,0.0,0.0,0.00013090409426801323,0.0009007402763961002
9.0,0.0008597097836819292,1.7206446663688754e-08,0.00013121292096776217,4.2139516125140094e-05,0.0005784291174923627,9.401602457025527e-05,0.0,0.0,0.00019453805983832406,0.0009009088995734041
12.0,0.0008264531635704011,1.7206446663688754e-08,0.0001311234474451111,9.66217099904914e-06,0.0004976310852491335,4.1395269383440785e-05,0.0,0.0,0.00020406160495229194,0.0009007712480000946
16.0,0.0008096940845199931,1.7206446663688754e-08,0.00013104429779045825,1.3042303005675889e-05,0.000493043846568601,4.886630852480309e-06,0.0,0.0,0.0002241183661695667,0.0009007127460814384
20.0,0.0008042568473742757,1.7206446663688754e-08,0.0001311475364704402,2.223087920547083e-05,0.00048708009215497525,4.759647276102486e-05,0.0,0.0,0.0002069443216197899,0.0009008297499187512
