epsilon,DER,TmF,ALJ,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph,PrivDPR
0.5,0.3681789795672051,0.06267599904296359,0.011436654174955064,0.42063050289615045,0.6486483524752644,0.45547588814580375,1.4416255043856099,1.5585042459047562,0.19584114688040138,0.27099947799484275
0.75,0.3213385102681349,0.06271241817995936,0.011089959622032387,0.3780611062134124,0.6055064452401666,0.426917899754425,1.4416255043856097,1.5585042459047558,0.18426143502211814,0.2710499449254102
1.0,0.3013431120784761,0.06274548977013356,0.01105539726805176,0.3467535405238848,0.5668186634548636,0.4053039670628317,1.4766402430917596,1.6436674918048608,0.1802708222819268,0.27105371992559596
1.5,0.2876053862188704,0.06293311542023644,0.0109664788178183,0.3056534247409278,0.44536976889301155,0.35794760017604,1.4709790904704998,1.6241446380438513,0.14778376835681445,0.27110441957209075
2.0,0.2829334858245456,0.06329310329643068,0.01099010810602774,0.28408379859229554,0.4011092917430274,0.3292217856351071,1.4213598838376502,1.7567772532768948,0.14611278118861348,0.27103520560461003
3.0,0.2776718217753948,0.06450871422051031,0.011010021662247899,0.2575789276585468,0.3503449891308365,0.27304108928951487,1.567830906946685,1.7173643857867895,0.12872281025902593,0.27093952295424156
4.5,0.2739275923579446,0.07004192562653402,0.010910674412463331,0.24186881183053893,0.3164843117059953,0.24202238940368018,1.705655612358271,1.8813957353095359,0.07310630913809656,0.2710525279679621
6.5,0.26957475404812364,0.08604633926785471,0.010883738600164934,0.22829923758958498,0.2962439885958582,0.2217582742061877,2.2875365431976555,1.614106697434131,0.05902578019170442,0.27096110672782187
9.0,0.2658302232391556,0.046647863563360974,0.010650748904743861,0.2199071517888581,0.2872929246920283,0.19340113895758884,2.2663159706700347,1.688037374440022,0.05672974923787068,0.27109726024710984
12.0,0.26318550608783564,0.010598390743629726,0.010694650026914925,0.21445440026485418,0.2788168180796193,0.17604166135086452,2.0077859142288927,1.7116102865624,0.10195490147078008,0.27108450989727406
16.0,0.2613052536701861,0.07326896668104595,0.010658885829056238,0.20882001506258652,0.27654032642871534,0.1639206347117309,2.0077859142289163,1.7116102865624256,0.12188892080895808,0.27105236561870283
20.0,0.26118168867949554,0.062189076121652566,0.010633026114582075,0.20940324878542418,0.27575331476013937,0.13897141090605386,2.0077859142288887,1.7116102865624216,0.09651130819002714,0.27102018524908944
