epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,0.010815796314560441,0.1906881732213989,0.0007944122198064327,0.07815505086195854,-0.0008881594797306135,0.032253261585284174,-0.21600689282320357,-0.22773073373909278,-0.9403689969449269
0.75,0.010815796314560441,0.15558597151763628,0.0008363408186399161,0.07358016028102318,0.04920928979747057,0.004572951825812075,-0.21600689282320357,-0.22773073373909278,-0.9244674261816777
1.0,0.010815796314560441,0.14271937504708201,0.0009237041721094378,0.05734056684529215,0.07738569207476283,-0.03310658125898294,-0.2467259381785671,-0.22168226559905876,-0.9147966009576516
1.5,0.010815796314560441,0.13453718507833695,0.001205308323756503,0.03559754554538122,0.045484578629783445,0.02012320779867499,-0.2283118360885771,-0.2402862816121315,-0.8939317794744737
2.0,0.010815796314560441,0.13254053818306527,0.0019133845821786366,0.03489939872505467,0.006884211353356203,0.013179229071469296,-0.2178585389145092,-0.22974649119194782,-0.8527168151801771
3.0,0.010815796314560441,0.13658903621594798,0.00655925657330593,0.014134511176130108,-0.021324612887409677,0.00873150153487583,-0.2493483614718785,-0.2617841954596476,0.2044316615315708
4.5,0.010815796314560441,0.1462240405195636,0.04012217878838433,0.016201478810487568,-0.02811747133962633,-0.016400972160880347,-0.2999141140090421,-0.30373988756496156,0.25009765099722236
6.5,0.010815796314560441,0.16219592097051647,0.1153611887127423,0.009747794815539397,-0.028628957377713354,-0.037300416909191836,-0.3297698015369459,-0.2923067941816454,0.13604195707683447
9.0,0.010815796314560441,0.1725468184231115,0.09092215891502566,0.007069344048235023,-0.028111093996022515,-0.04254188766007275,-0.27553898883010663,-0.30407381984578,-0.01036162231727833
12.0,0.010815796314560441,0.17901569953533694,0.030488426958485387,0.01246404343353259,-0.028405901661771836,-0.02779167337278477,-0.3429160924172555,-0.31203323615926765,0.15616477555375363
16.0,0.010815796314560441,0.1820241888277272,0.013484551114696326,0.008072203223903307,-0.028566782899359867,-0.019298808373240564,-0.3429160924172555,-0.31203323615926765,0.1101659468609126
20.0,0.010815796314560441,0.182391182921578,0.06820858808406387,0.007880954704441797,-0.028602123198387328,-0.045091454113648205,-0.3429160924172555,-0.31203323615926765,0.13109871848867022
