epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,4.898245588083113,3.7914000637862313,5.61011416887283,3.3302823380780833,1.9792320365682436,3.0432123794509662,32.21638708474666,31.707128071915367,4.1503882033770285
0.75,4.898245588083113,4.023949404393003,5.609896082348046,3.5504033213153496,2.6396756374673256,3.2332607334760657,32.216387084749684,31.70712807191524,4.207648885921909
1.0,4.898245588083113,4.114328275365196,5.609716648759368,3.683958933335672,3.0910640007776733,3.3046908708528644,33.319093353939735,32.99984657252927,4.268587323260565
1.5,4.898245588083113,4.189368690821283,5.609132934792069,3.8464768036737547,3.825199548822324,3.584224873376746,31.33741067873465,33.14299971396931,4.361932859960314
2.0,4.898245588083113,4.222352421539991,5.608018821780544,3.9444971290776976,4.193052458964025,3.7505411317413224,31.755254275824868,35.24000113071447,4.431937514730896
3.0,4.898245588083113,4.2598653137035845,5.603384306029808,4.026325355990062,4.624101791028723,3.9462971016130757,39.759063623077026,46.620394005406425,5.308799486161684
4.5,4.898245588083113,4.301421654585232,5.577104493114937,4.081410271177409,4.7044908355812645,4.08344512567175,56.89967705247497,58.86390551791224,5.1755589521307135
6.5,4.898245588083113,4.344532765089833,5.415821967334341,4.162713226715245,4.772504916521619,4.237944231183171,70.28757043864204,67.22210034446735,5.435837114432951
9.0,4.898245588083113,4.3869803243874195,4.944980678291657,4.1737221104037205,4.697979228636355,4.341211387537658,64.14585190504702,74.98131831083452,4.705229550030844
12.0,4.898245588083113,4.416114449572287,4.889578246982982,4.186130231482542,4.706594082473594,4.26814333142855,77.12356601798459,78.20557249960326,5.80536488179814
16.0,4.898245588083113,4.430129664185755,4.883355311026543,4.19355182398993,4.714287951007579,4.253162299495963,77.12356601798281,78.2055724996036,5.319941888236189
20.0,4.898245588083113,4.436535163593282,4.8854581061122415,4.192423927172364,4.718572404764341,4.216604708192094,77.12356601798253,78.20557249960324,5.682011370807689
