epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,7245.433,26127.822900000003,1084.5161,32340.970499999996,,45300.0934,6732.2086,6709.048599999999,7222.880800000001
0.75,7245.433,20544.952199999996,1087.2164,23176.6911,,36219.9969,6733.3973,6707.476199999999,6516.384799999999
1.0,7245.433,18751.513600000002,1080.2142000000001,18178.6001,49468.1364,29905.9765,6698.801100000001,6648.735,5929.3766000000005
1.5,7245.433,17490.773699999998,1079.4646,13432.4502,10932.956600000001,21554.954700000002,6807.456999999999,6679.125599999999,5223.5692
2.0,7245.433,16968.5413,1087.4677000000001,11429.1662,7954.088900000001,16133.615,6812.7602,6508.103399999999,4723.9501
3.0,7245.433,16348.345700000002,1088.1110999999999,9736.8883,7040.8507,11992.995299999999,6210.3559000000005,5833.6756,3167.4323
4.5,7245.433,15638.7155,1139.9569000000001,8859.765,6634.220799999999,9870.74,5223.0886,5245.3923,3805.8519
6.5,7245.433,14933.3882,1512.9814999999999,8265.4808,6581.279399999999,8711.1342,4911.265799999999,5083.9984,5119.1476
9.0,7245.433,14366.405200000001,4019.8214,7956.2573,6237.213599999999,7952.107899999999,4957.3487000000005,4840.6265,6139.641300000001
12.0,7245.433,14039.1801,6670.716800000001,7851.6527,6226.3585,7774.3497,4877.262599999999,4738.0517,5047.449099999999
16.0,7245.433,13863.304200000002,7176.144399999999,7745.9003,6225.7092,7546.3485,4873.598500000001,4737.014300000001,5502.3745
20.0,7245.433,13804.391700000002,5204.618100000001,7693.4275,6226.3622,7345.6385,4879.2662,4738.6923,5218.1686
