epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,0.6861975670494284,0.39579556160777507,0.2985385880432,0.2612898205483848,0.033226244607413524,0.3283919935876589,0.35296322565718397,0.34914412080919893,0.2981308479720467
0.75,0.6861975670494284,0.4362827260758751,0.29833998488744506,0.32270060268567413,0.07743474278746011,0.30913742221925666,0.3529632256571839,0.34914412080919893,0.3032397485973263
1.0,0.6861975670494284,0.44132971689529366,0.29852935249327317,0.3541140756598336,0.13544163249321886,0.29534982128723436,0.3462039226273549,0.3337217088699495,0.3063562398539601
1.5,0.6861975670494284,0.43946925159235334,0.2984602450003919,0.40397028656536027,0.24816198892863645,0.3792418188651756,0.3511222203624297,0.333980510745302,0.3113263570095359
2.0,0.6861975670494284,0.4344008549214618,0.2985369740407076,0.43011339709716756,0.30502928689068176,0.39984083909993773,0.3256110496910099,0.3209874524139871,0.31685416400758987
3.0,0.6861975670494284,0.42581876157353926,0.2986822129005834,0.4439543277915708,0.33767824719649797,0.4081567381210517,0.29290868587157004,0.2585907357293732,0.44387347617097883
4.5,0.6861975670494284,0.4107292956881559,0.2982259512284644,0.4569651628566281,0.34606675977727985,0.43965985722359696,0.2246785357524288,0.22754661193365402,0.4700704552432827
6.5,0.6861975670494284,0.3997300024040493,0.3038283752323603,0.4722668680586555,0.34803638464189984,0.46159209285927316,0.25496188637756695,0.26065675290037316,0.5048427873948055
9.0,0.6861975670494284,0.3884328667524379,0.46911632670822334,0.47179578849318593,0.35748178691462373,0.475313929969727,0.24854342605088903,0.23449118484345394,0.49149780692796846
12.0,0.6861975670494284,0.38679305579378975,0.6317757559269943,0.47265988947590676,0.35758423422614444,0.48844217127854744,0.23759432919447707,0.23995463563978942,0.6250850551192324
16.0,0.6861975670494284,0.3781213684794551,0.6770584129813905,0.4712178821663335,0.3586905496817796,0.48357831380387045,0.2375943291944771,0.23995463563978942,0.6167721224840577
20.0,0.6861975670494284,0.38157584484299906,0.5310715773629318,0.47240689224661736,0.35476343064531196,0.49048870750842716,0.2375943291944771,0.23995463563978944,0.6508011161634735
