epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,0.06357722918564943,0.24493770275959778,0.020626719519543417,-0.11002189520057393,-0.014290640999194384,-0.12610517401049165,-0.2660696632006385,-0.2599530165122281,-0.6149936552501849
0.75,0.06357722918564943,0.2215957918105187,0.027133834079400235,-0.11411260917122704,0.0018079953836903485,-0.07933729104071968,-0.2660696632006386,-0.2599530165122281,-0.004203199031154731
1.0,0.06357722918564943,0.20061447332695043,0.03617747095813415,-0.09401780252615312,0.002155502546467814,-0.0629866728484485,-0.2633910571420535,-0.262432916180733,0.378930825685322
1.5,0.06357722918564943,0.1762564565340267,0.05729644275249969,-0.088225924954602,-0.017176770667707116,-0.09544416698021507,-0.27198516989477584,-0.26477099917545355,0.29433585409464436
2.0,0.06357722918564943,0.17462423769530516,0.0825500969484258,-0.0957122453908527,-0.02518682050276684,-0.06953967727755217,-0.2647549986799233,-0.2671183791859095,0.21842543288541166
3.0,0.06357722918564943,0.17337872997529516,0.1313260207059812,-0.08983730620432201,-0.03245793779337814,-0.17292922139701083,-0.26642859741013025,-0.26536248749226127,0.17626900718335026
4.5,0.06357722918564943,0.18191921850866616,0.15117546215185762,-0.08007314678505002,-0.028628789525467057,-0.056996290901875725,-0.26552214982337097,-0.2629216010452624,0.1470525014340257
6.5,0.06357722918564943,0.18627456133267906,0.10461762650924332,-0.0837962128959621,-0.015540281772271916,0.05610081395945915,-0.2736509131523438,-0.2706339956546109,0.11564990804288436
9.0,0.06357722918564943,0.18271869195212312,0.07622113667736985,-0.09123972404028986,-0.007693463928796607,0.0514247446825375,-0.28193731535263267,-0.27602070613091007,0.08631621959974568
12.0,0.06357722918564943,0.17468602307408249,0.12857232005931007,-0.08017224107701339,-0.000496273027037597,0.10296153533486492,-0.26809339386496456,-0.2592039826901083,0.07740558758761415
16.0,0.06357722918564943,0.16979546109102503,0.11880339157056556,-0.08701618618674106,-0.0014694689178986202,0.10578345495476876,-0.26809339386496456,-0.25920398269010825,0.07810452774780609
20.0,0.06357722918564943,0.1677392715468003,0.11759642000729074,-0.0900512898439323,0.0028486153110106474,0.16471785044889228,-0.26809339386496456,-0.25920398269010825,0.11013840647259165
