epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,3.261811080029313,2.42699682513998,2.483098797017135,2.433913998095549,1.4932040323752764,2.275384092071768,3.270029109919721,3.276156250037743,2.7562065474428965
0.75,3.261811080029313,2.5133112067716086,2.483072511557321,2.505452550912121,1.7445225349557407,2.449329963344091,3.270029109919726,3.276156250037742,2.867794702168424
1.0,3.261811080029313,2.562458026055285,2.4830630220969385,2.5484732032817963,1.8494657931722247,2.5335366355433098,3.222803412189288,3.258795728146465,3.514080012787501
1.5,3.261811080029313,2.6038468130590884,2.483356011645173,2.596555870093858,1.923392159991366,2.598190530237832,3.1563529504507963,3.297834157332459,4.005319156101506
2.0,3.261811080029313,2.630310288283399,2.4843107254231107,2.60206553319385,1.9735652103191508,2.6596438956377866,3.1942035776493465,3.227636949174311,4.114609493497815
3.0,3.261811080029313,2.6520289323017576,2.4906476802997393,2.628579821273351,2.060753478193653,2.693411911163016,3.112296270845541,3.2366198439192235,3.915485991787288
4.5,3.261811080029313,2.6737676897101004,2.5301374414782303,2.6467579323601487,2.1386296057940157,2.6821825792029075,3.221033572728232,3.1183062341720698,3.8549579985279228
6.5,3.261811080029313,2.6925415802168384,2.6376147578390796,2.6611136841500023,2.192364705173898,2.7151169767162644,3.1498732114400347,3.0786128328734756,4.2089970089097575
9.0,3.261811080029313,2.7052783848849766,2.8078198944612964,2.6562710697179184,2.2253485002462403,2.7441262031302234,3.092909792074263,3.068787983665888,4.259890084766624
12.0,3.261811080029313,2.7109031573223437,2.5829961313663508,2.666481717493223,2.2391313759886793,2.778587540445827,3.1741794697191583,3.0071034708709936,4.202066774872729
16.0,3.261811080029313,2.7176105548933345,2.6014322250107864,2.666126052540787,2.247978662599165,2.854193784313152,3.1741794697191126,3.0071034708710207,3.6449397700569133
20.0,3.261811080029313,2.717638603109937,2.6043291708984877,2.66771910025415,2.2526358592587226,2.8937287213391336,3.174179469719246,3.0071034708710327,4.104910902998715
