epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,2371.684,3918.6177,3552.1355999999996,2388.2565,4039.0000000000005,3224.51,2087.4182,2100.258,2522.2352999999994
0.75,2371.684,3858.4497000000006,3550.1463999999996,2185.3616,4039.0000000000005,2653.6165,2086.8935,2101.8193,2443.0903
1.0,2371.684,3809.0035000000003,3546.7941,2099.564,4038.9958,2388.042,2104.1508,2112.4858000000004,2288.2603000000004
1.5,2371.684,3744.7951,3541.6724000000004,1977.725,4028.7979,2156.1532,2115.1342,2098.4936,2281.1892
2.0,2371.684,3704.2668000000003,3531.3844000000004,1945.0483000000002,3946.8706999999995,1966.1167,2121.8515,2120.8129,2228.6443
3.0,2371.684,3669.3203,3490.4969999999994,1895.151,3686.4078999999997,1866.6824000000001,2151.1556,2106.1882,2350.4675
4.5,2371.684,3642.2898,3274.5060000000003,1861.3176000000003,3447.5418999999997,1916.9371999999998,2120.5051999999996,2148.0008000000003,2385.5298000000003
6.5,2371.684,3623.2407,2805.1796000000004,1831.7861000000003,3320.944,1996.5656999999999,2122.1666,2145.5633,2415.8199999999997
9.0,2371.684,3606.6689999999994,2528.6992999999998,1834.9619000000002,3249.9565000000002,1996.1569,2130.3517999999995,2159.3023000000003,2440.6065000000003
12.0,2371.684,3599.301999999999,3012.4374000000003,1819.0291000000002,3216.4208,2076.2884000000004,2120.6386,2164.8123,2492.4821
16.0,2371.684,3596.074,2931.5308,1820.2397999999998,3193.5337999999997,2052.1427000000003,2120.5267,2165.4015999999997,2465.2894
20.0,2371.684,3590.7412000000004,2920.8466999999996,1814.0861,3177.9971000000005,2038.6252000000002,2120.7149,2165.8938,2514.0548000000003
