epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,-0.07521713413904482,-0.0856601018530718,0.0016214600450195175,-0.030685194096827243,-0.017168797267535753,-0.03287821356185428,-0.24283836836579897,-0.23790576371864475,-0.9216222661926778
0.75,-0.07521713413904482,-0.08514892950353246,0.0018608570366997154,-0.04089128468667242,-0.04862011218495494,-0.045750186113206755,-0.24283836836579897,-0.23790576371864477,-0.8821856426925508
1.0,-0.07521713413904482,-0.08097341951202194,0.0022439826336726706,-0.046327554311728886,-0.06466439347141271,-0.039670143898127445,-0.2598085509935224,-0.26608251979093384,-0.8092252472586959
1.5,-0.07521713413904482,-0.07575939454076029,0.0034038364460914645,-0.05519880586032032,-0.10002832743070009,-0.044320978328453955,-0.26239791091760506,-0.2389152337541656,-0.13729197766518997
2.0,-0.07521713413904482,-0.07365655174627994,0.003880359484467317,-0.05843720005884911,-0.10069641115769941,-0.0606177908799289,-0.26167825391687455,-0.2470230484314603,-0.029121629880506466
3.0,-0.07521713413904482,-0.07232275682681383,0.0029758941744591995,-0.06177782444132684,-0.09475426016908171,-0.07654845227730388,-0.2576808870948287,-0.23751646811491148,0.007467591028170922
4.5,-0.07521713413904482,-0.07163449281900439,0.0004337257461018454,-0.0632296713053356,-0.0853602707779613,-0.0708359941942615,-0.27130216264697804,-0.2776249339066426,-0.001951261570205218
6.5,-0.07521713413904482,-0.07025795440982231,-0.01239117228572376,-0.0647041256465431,-0.07902643021308138,-0.07733134481130009,-0.3336747370645879,-0.3126345716683232,-0.00948934006467541
9.0,-0.07521713413904482,-0.06867792158796472,-0.050862742291831374,-0.0661147870070139,-0.07846896071799267,-0.0836861263950948,-0.3668692704858703,-0.35531446579968595,-0.015338698647324732
12.0,-0.07521713413904482,-0.0675075444227625,-0.06969818930835564,-0.06762450961094225,-0.07816968174490535,-0.09087822481950468,-0.3596691255418365,-0.3655205042270419,-0.024920699845834858
16.0,-0.07521713413904482,-0.06668272768297343,-0.03556514892685782,-0.06733154151436825,-0.07728292723594038,-0.08575852538011501,-0.3596691255418365,-0.36552050422704196,-0.03130265325986303
20.0,-0.07521713413904482,-0.06636097520888233,-0.05064612714179145,-0.06588229443504925,-0.07779554070166267,-0.07728683769051252,-0.3596691255418365,-0.36552050422704196,-0.03285121664722903
