epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,0.0004066878203117068,0.0013947287191725213,0.0004066879610326752,0.000927808524918482,0.037045901420880725,0.0015215011810603058,0.0004066878203117067,0.0004066878203117067,0.00044235190106646407
0.75,0.0004066878203117068,0.0010354246040622061,0.0004066881017536436,0.0007312068378007198,0.010054126068960452,0.00111132792989957,0.0004066878203117067,0.0004066878203117067,0.0004366213320914841
1.0,0.0004066878203117068,0.0009280155254630019,0.00040668838319558035,0.0006352038972953641,0.003924931132917076,0.0009121568241890765,0.0004066878203117067,0.0004066878203117067,0.00043115469382223095
1.5,0.0004066878203117068,0.0008654438061419497,0.000406688242474612,0.0005425457534879627,0.001650729993541611,0.0007136003926385342,0.0004066878203117067,0.0004066878203117067,0.00044603406460530325
2.0,0.0004066878203117068,0.0008456810940604987,0.0004066885239165488,0.000499088163304995,0.0011052305069268842,0.0006187469464137179,0.0004066878203117067,0.0004066878203117067,0.0004504056965832937
3.0,0.0004066878203117068,0.0008298273290393267,0.00040668838319558035,0.00045564323800918375,0.0008070178672709975,0.0005313948443232802,0.0004066878203117067,0.0004066878203117067,0.00048268161071155874
4.5,0.0004066878203117068,0.0008164257676135336,0.00040668852391654876,0.00043371032715303244,0.0006884695982550037,0.0004686382565572629,0.0004066878203117067,0.0004066878203117067,0.0005072772675964785
6.5,0.0004066878203117068,0.0008037804406719342,0.00040668838319558035,0.00041735128059377933,0.000649489608565629,0.00043938757390225505,0.0004066878203117067,0.0004066878203117067,0.00045419926575464335
9.0,0.0004066878203117068,0.0007928355859125084,0.00040668852391654876,0.000408595453147409,0.0006148000604818721,0.0004255892300410975,0.0004066878203117067,0.0004066878203117067,0.00047196908557692416
12.0,0.0004066878203117068,0.0007854207166454541,0.00040668852391654876,0.00040244747760215775,0.0005845057911251929,0.00041028704052053247,0.0004066878203117067,0.0004066878203117067,0.0004625340400785152
16.0,0.0004066878203117068,0.0007807085342975346,0.00040668852391654876,0.0003996151753296653,0.000549141485997947,0.0004035487576695566,0.0004066878203117067,0.0004066878203117067,0.0004178188420723806
20.0,0.0004066878203117068,0.0007793079384990265,0.00040668852391654876,0.00039756028617957367,0.0005430030966352702,0.0003936021774599767,0.0004066878203117067,0.0004066878203117067,0.0004359886557024856
