epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,3.0680379502546877,2.68198855396309,4.04206475748792,2.8285549023205423,1.9285549934122286,2.8169052362446676,13.657756085082116,12.832948186784163,3.7471701672641644
0.75,3.0680379502546877,2.7879539606434607,4.041161397034131,2.8919819860357423,1.9802916168973757,2.8954532893763765,13.657756085081838,12.832948186783884,3.7800709139846864
1.0,3.0680379502546877,2.8383980526426393,4.0399976993859745,2.926307077977861,2.0787798172028964,2.9688672436700623,14.17209185636877,13.23761287225772,3.850390417436456
1.5,3.0680379502546877,2.8829313240860643,4.036765273051662,2.9993782296493037,2.134013814148614,2.952701921856851,14.170058802574973,12.076033878605575,3.9717296254493535
2.0,3.0680379502546877,2.9026960218737536,4.031420947529071,3.0285971025272773,2.260925424872702,3.0158458335578193,15.286905030220922,13.256018007339025,4.042604473542182
3.0,3.0680379502546877,2.91983417888259,4.01038975819629,3.0746190560937534,2.4280730640172203,3.03331093990226,16.129240727368977,13.59990004177491,4.205130539782535
4.5,3.0680379502546877,2.933780447349578,3.927460767542351,3.1112405365489684,2.539918698627891,3.0974509722561003,18.2527788046142,17.471797016832813,3.9462987497384407
6.5,3.0680379502546877,2.9448779922837263,3.639150829960919,3.1635104449951603,2.5925151034871097,3.1466439171599188,28.30954551300545,25.307054785463112,4.250373231288767
9.0,3.0680379502546877,2.954331577482564,3.192728153783346,3.176697464967132,2.624024486197774,3.175679353079616,32.936886982746174,29.578335837973214,4.3173622549922275
12.0,3.0680379502546877,2.9617180569632158,3.1021680448303366,3.191981868316703,2.6412765035383123,3.205061866195364,33.5238156129102,33.29747786467633,4.519525116487312
16.0,3.0680379502546877,2.9667027007402766,3.318077120894805,3.1938309327511925,2.6561622615765357,3.227350432922877,33.52381561291156,33.29747786467619,4.800090553137891
20.0,3.0680379502546877,2.9676668516702076,3.194160876295262,3.205127932146305,2.657637548856264,3.2111345763178227,33.523815612912024,33.29747786467556,4.787527537592858
