epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,11213.309,26546.5213,2423.0444,24154.963499999998,,30331.984300000004,7328.129399999999,7486.719499999999,12584.4928
0.75,11213.309,23123.1966,2432.5094,19938.2079,,25187.379399999998,7324.1185000000005,7486.2515,12346.3957
1.0,11213.309,22040.037900000003,2460.938,17492.895099999998,37502.423599999995,22000.247199999998,7251.849999999999,7550.9518,12319.3268
1.5,11213.309,21451.6575,2506.1721000000002,14917.662199999999,33101.6406,18771.3308,7229.855199999999,7628.5889,10819.2677
2.0,11213.309,21286.051000000003,2578.4675000000007,13704.430199999999,25887.657799999997,15968.8734,7119.8706,7544.345300000002,10012.961500000001
3.0,11213.309,21134.6623,2827.0669,12485.973899999999,19686.2439,13767.906899999998,7048.329099999999,7433.2934,9610.3461
4.5,11213.309,20980.227099999996,3687.9440999999997,11852.0018,17639.590799999998,12485.9617,6641.9037,6640.246800000001,10071.657899999998
6.5,11213.309,20826.8568,6985.7477,11364.052999999998,16996.2639,11593.421599999998,5485.934400000001,5617.4291,8755.8315
9.0,11213.309,20677.884100000003,10633.894999999999,11120.105199999998,16561.5835,11052.896900000002,5233.5517,5328.57,8996.5214
12.0,11213.309,20570.400100000003,11140.3078,10959.2625,16177.643300000002,10825.0811,5145.2959,5099.286099999999,9337.748000000001
16.0,11213.309,20499.4998,9835.0794,10887.3096,15632.0603,10656.896799999999,5145.156300000001,5099.8455,9024.2225
20.0,11213.309,20475.168899999997,10625.169500000002,10809.2865,15527.1809,10446.019300000002,5146.327700000001,5100.1684,9573.9066
