epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,0.012357188884259466,0.013859471981062025,0.0004138767009112359,0.011064482781326952,0.05556077390517422,0.00716633102708179,0.014025687567382922,0.008571834238866951,0.00509685940906192
0.75,0.012357188884259466,0.011704802370934266,0.0004146248623860164,0.012494694426370634,0.024311155577525105,0.007767094530451756,0.014025687567382922,0.008571834238866951,0.0038429136306435494
1.0,0.012357188884259466,0.010691699216406567,0.00041634490806458053,0.01313563058643009,0.012295211066973549,0.008196662226750332,0.014901224608711587,0.008912527958819551,0.004709794463470249
1.5,0.012357188884259466,0.009724014307975355,0.00042365388289642493,0.015057350324423905,0.00787482397166303,0.010593594064695937,0.012735108704312742,0.008627630994802559,0.023003087380690408
2.0,0.012357188884259466,0.009234433092425427,0.00043272943702344664,0.015603973243952617,0.007515190258138404,0.01242531550941704,0.01510161518770507,0.008881137295415417,0.031490934499901584
3.0,0.012357188884259466,0.008645303078536832,0.0004782359256787949,0.0162824251688671,0.008360019416991363,0.01179505325146767,0.01121633751502832,0.009482828084105202,0.03592096014605518
4.5,0.012357188884259466,0.008011634551972173,0.0008018069132956103,0.017603760359517977,0.008464028468924136,0.0142901801999713,0.008894660528242395,0.014041537811071248,0.035316194335604206
6.5,0.012357188884259466,0.0074882505413061875,0.0029168777613759467,0.018966326658304302,0.008485038206907386,0.014731948837483968,0.017502952374240613,0.01955682526320322,0.04134881817138959
9.0,0.012357188884259466,0.007067673878212053,0.009024560042322613,0.018986681546053742,0.007982835619868709,0.015752401003473474,0.017813637260580002,0.02422239704078594,0.043294563708444034
12.0,0.012357188884259466,0.0068174251419902835,0.01163304800594123,0.01914217007464046,0.007133365124508487,0.016547755515453393,0.014616964697455957,0.025762167279296762,0.041823380860865345
16.0,0.012357188884259466,0.006698824960189781,0.006754925610385313,0.019260575014373844,0.00567367842132213,0.018065886064444946,0.014616964697455957,0.025762167279296762,0.04237954972595819
20.0,0.012357188884259466,0.00664832423045043,0.008996350591905178,0.019441653555006783,0.00543592922599935,0.016985434679081007,0.014616964697455957,0.025762167279296762,0.039899702308037896
