epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,4.874223397958484,3.079636801115534,4.568726576932846,2.8239763588470237,1.7125664212763283,2.6541321667522855,11.901028162528524,12.470721259165087,3.919649897551007
0.75,4.874223397958484,3.307947712544418,4.56854906192317,3.0314691081950014,1.9228497149541957,2.7933301819681713,11.901028162528526,12.470721259165087,3.976092000032269
1.0,4.874223397958484,3.40540975025195,4.568387863604533,3.1840691774120193,2.1114226061472317,2.8986813184154343,12.071697821203442,12.885825944977471,3.9955431380227004
1.5,4.874223397958484,3.4723704950715795,4.567473334270746,3.38440032342011,2.7033916496768033,3.1295068299373408,12.044104098637483,12.790667194380635,4.153892296395223
2.0,4.874223397958484,3.4951423812865285,4.5657186729416175,3.4895354998789907,2.9191271030060637,3.269522867298172,11.802249000679511,13.437148190881961,4.162037061148156
3.0,4.874223397958484,3.520788907307096,4.5597935137326555,3.61872616194414,3.1665636545794493,3.5433601319394588,12.516181488640484,13.245041069981053,4.246799664342969
4.5,4.874223397958484,3.5390391179409564,4.532823405231564,3.6953007760976537,3.3316081607543357,3.694552204697247,13.187969892574374,14.044566511823529,4.582699587451196
6.5,4.874223397958484,3.5602558242782156,4.454814317790433,3.7614419123632463,3.430264017240005,3.7933240291317905,16.024187540497564,12.74174002939342,4.941265165529661
9.0,4.874223397958484,3.5785075039616645,4.646851289913175,3.8023468133308236,3.473893502356675,3.931543041259584,15.920753729365359,13.102094665082445,5.018955875205024
12.0,4.874223397958484,3.59139844618161,4.822564473815177,3.8289247423923776,3.515207939530469,4.016157013186616,14.66062047918442,13.21699430490736,5.2861405459178625
16.0,4.874223397958484,3.600563216509786,4.517094086217489,3.8563879945783817,3.5263040684005627,4.0752376048383585,14.660620479184532,13.216994304907484,5.213269416078939
20.0,4.874223397958484,3.6011654998785785,4.571099948028904,3.8535451831200476,3.5301401390900016,4.196845695272893,14.660620479184402,13.216994304907466,5.291949889272633
