epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,735.485,3859.3533000000007,144.7899,4441.669,7623.999999999998,5999.1021,1203.0726,1195.7674,406.2955
0.75,735.485,2870.9652,143.96130000000002,3256.9844000000003,7623.9984,4886.4621,1202.1990999999998,1195.8940999999998,355.6368
1.0,735.485,2496.6816,144.92270000000002,2570.5526999999997,7590.8306999999995,3997.7935999999995,1203.7547,1190.8142,339.41519999999997
1.5,735.485,2220.3876999999998,143.8354,1871.5067000000001,5446.9907,3009.4068,1206.6486000000002,1185.1193,285.0964
2.0,735.485,2120.6448,145.4078,1558.7335999999998,3136.0103,2406.3771999999994,1211.8312,1186.6535000000001,290.98080000000004
3.0,735.485,1995.3882000000003,146.53870000000003,1282.1616999999999,2138.4297,1712.5196,1198.2368999999999,1182.1562000000001,294.81539999999995
4.5,735.485,1882.9945,159.2323,1142.5591,1844.3876,1390.9939,1172.7548000000002,1165.6411,339.62919999999997
6.5,735.485,1757.6608,267.3235,1071.6751000000002,1684.0278,1209.2769999999998,1147.5208000000002,1193.2389999999998,403.52689999999996
9.0,735.485,1650.1395000000002,560.0183000000001,1034.3484,1675.9534,1081.0776,1131.5287999999998,1184.5288,460.3173
12.0,735.485,1569.0303,681.7185000000001,1009.7121,1545.9528999999998,999.2098,1150.7577,1192.184,494.85839999999996
16.0,735.485,1530.795,434.0119000000001,995.1262999999999,1547.0233,937.9055,1150.067,1192.5928,513.2963
20.0,735.485,1513.1348,484.4318,986.4057999999999,1534.2524,884.7832999999999,1149.4560000000001,1193.3139999999999,521.0196
