epsilon,Non-Private,DER,TmF,TriCycLe,LDPGen,CAGMDP,DPGVAE,DPGGAN,PrivGraph
0.5,0.178622548153384,0.07010754442150684,0.000986325801325045,0.020946105303411105,0.1727348971696523,0.02582092733324088,0.013806945978393848,0.014863700987923853,0.024291868618324
0.75,0.178622548153384,0.08386214852945745,0.0009875368341783263,0.034289950083856324,0.04128545334601255,0.016732705686564486,0.013806945978393846,0.014863700987923853,0.017537329838178937
1.0,0.178622548153384,0.08826057343169683,0.001001931746509752,0.04459910269738007,0.01800873245394051,0.013524340284996269,0.014072472616024685,0.015381120788901815,0.014404090925499723
1.5,0.178622548153384,0.08895585660981323,0.001014138072627339,0.05503189633207011,0.012680940713826826,0.009757833489925758,0.013913042288822914,0.01612959230624297,0.007075941500393825
2.0,0.178622548153384,0.08587212237332201,0.0010418966707857636,0.056810897253053036,0.014144068208272829,0.023315244046926697,0.014602147838220125,0.017482715114446643,0.004335189900391289
3.0,0.178622548153384,0.07916816385003454,0.0011926114321680762,0.057647896507685835,0.016602505873847026,0.0614065595545464,0.017440642757950032,0.01825778402013807,0.007178131587643485
4.5,0.178622548153384,0.07006887358669553,0.0028001008086427836,0.05583251427757116,0.017876499728363953,0.05850919301634085,0.023184236638698664,0.02081469241896551,0.04662070314649224
6.5,0.178622548153384,0.05981791505498474,0.028512921951170358,0.055198580373081944,0.0180380862393872,0.062265645900988334,0.022048118098595602,0.017407737085684057,0.06343258789949337
9.0,0.178622548153384,0.05199882309304303,0.1277131426447118,0.05655992011266435,0.01881195501006611,0.08361826631933683,0.020033942116119356,0.017401367684619022,0.06694518032342538
12.0,0.178622548153384,0.04718155113957536,0.16699190435539857,0.05673628224116213,0.017322214997852046,0.10377728436522798,0.01801242940931113,0.019073243014395225,0.07182661857377035
16.0,0.178622548153384,0.044828825801973025,0.08575538296163265,0.05672032484617952,0.01766791141305633,0.11567543854058625,0.01801242940931113,0.01907324301439522,0.06950535169355987
20.0,0.178622548153384,0.0439046217332654,0.10584829880909276,0.05548927127805002,0.017532541078719887,0.13552139110004824,0.01801242940931113,0.019073243014395218,0.06641502561310042
