Metric,Facebook,LastFM,GitHub,Brightkite
Assortativity,0.06357722918564943,0.017073172560631417,-0.07521713413904482,0.010815796314560441
Density,0.010819963503439287,0.0009568849118596328,0.0004066878203117068,0.00012628324885460737
Harmonic Diameter,3.261811080029313,4.874223397958484,3.0680379502546877,4.898245588083113
Modularity,0.8348200533979873,0.8142873207073501,0.4536672984078442,0.6861975670494284
Transitivity,0.5191742775433075,0.178622548153384,0.012357188884259466,0.11056689574171319
Influence Maximisation Spread,0.5871958405545927,0.09646970094438614,0.2974352519893899,0.12443211169883904
Link Prediction Accuracy,0.8100702708829196,0.5000899118863513,0.5,0.5
Link Prediction Average Precision,0.9611368645504479,0.7909576423721503,0.9235185909398717,0.8327900814308553
Link Prediction ROC AUC,0.9665597614084204,0.7929995552748884,0.913433592898792,0.8258909169126276
Node Classification Accuracy,,0.42857142857142855,0.6551724137931034,
Node Classification F1 Score,,0.24255341652041396,0.6207362035732671,
