epsilon,pi_v,pi_e,PrivDPR
0.5,0.03332691150497458,6.398564302245452e-05,6.195051570843391e-05
0.75,0.03332691150497458,6.398564302245452e-05,6.198634830653732e-05
1.0,0.03332691150497458,6.398564302245452e-05,6.195561419161728e-05
1.5,0.03332691150497458,6.398564302245452e-05,6.195630162755213e-05
2.0,0.03332691150497457,6.398564302245452e-05,6.195684584766722e-05
3.0,0.03332691150497458,6.398564302245452e-05,6.194619059067723e-05
4.5,0.033326911504974584,6.398564302245452e-05,6.190654845176827e-05
6.5,0.03332691150497458,6.398564302245452e-05,6.192533836732048e-05
9.0,0.03332691150497458,6.398564302245452e-05,6.194484436197151e-05
12.0,0.03332691150497458,6.398564302245452e-05,6.195466896720688e-05
16.0,0.03332691150497458,6.398564302245452e-05,6.197225586987316e-05
20.0,0.03332691150497458,6.398564302245452e-05,6.194177954342869e-05
