epsilon,pi_v,pi_e,PrivDPR
0.5,18.5961640663051,29118.484179648814,18.298782797969995
0.75,18.5961640663051,29111.484181781165,18.298761807797035
1.0,18.596164066305093,29107.900849539794,18.298745078890416
1.5,18.596164066305096,2920.553288724215,18.298776177410023
2.0,18.5961640663051,29101.650851445043,18.298781123351272
3.0,18.596164066305096,20373.16865985213,18.298768472914382
4.5,18.596164066305096,24442.699628505903,18.298787618698146
6.5,18.5961640663051,19337.011455950727,18.298790442656074
9.0,18.5961640663051,43654.39648892364,18.298759021835593
12.0,18.5961640663051,18045.795305628224,18.298756691738767
16.0,18.5961640663051,29096.484186354006,18.29878303959961
20.0,18.596164066305096,23348.44648804298,18.29878920808979
