epsilon,pi_v,pi_e,PrivDPR
0.5,51.17542801188976,24229.98113069016,370.3472747917017
0.75,51.17542801188976,22281.414464023495,377.60147456320055
1.0,51.17542801188976,23249.264464023494,374.29152011551395
1.5,51.17542801188975,19363.239464023492,374.25919204867887
2.0,51.17542801188976,18876.66446402349,377.650893357898
3.0,51.17542801188975,15478.289464023494,376.67883388642065
4.5,51.17542801188976,14215.807797356829,376.4899805804201
6.5,51.17542801188975,13196.448630690162,375.54291037941164
9.0,51.17542801188975,10758.379464023496,375.3181245660598
12.0,51.17542801188976,11049.369225928258,378.80253102392294
16.0,51.17542801188976,10397.850199954231,376.68891355133576
20.0,51.17542801188975,9611.938987833018,372.27055625938317
