epsilon,pi_v,pi_e,PrivDPR
0.5,0.6958283792200197,45614166.731363565,0.44050086664492494
0.75,0.6958283792200197,47995120.608763464,0.44050026654992286
1.0,0.6958283792200197,46258373.99259636,0.4405027017186945
1.5,0.6958283792200197,29279621.302060075,0.44050052212518975
2.0,0.6958283792200197,32561681.75682353,0.44050205549992594
3.0,0.6958283792200197,22770001.378162365,0.44050214772829827
4.5,0.6958283792200197,20755052.78953879,0.4405010499449567
6.5,0.6958283792200197,16325962.804816242,0.4405016035260256
9.0,0.6958283792200197,12990569.562234828,0.4405015546452035
12.0,0.6958283792200197,11589178.273575572,0.4405005326951469
16.0,0.6958283792200197,9818531.665432395,0.4405020626438021
20.0,0.6958283792200197,8362140.2569479495,0.44050139584292936
