epsilon,pi_v,pi_e,PrivDPR
0.5,0.60682594746267,0.1711570239790315,0.6004147137911068
0.75,0.6051368299722807,0.1944223735685152,0.6007310530292505
1.0,0.6040517195276477,0.16497768269202698,0.6001873005320274
1.5,0.605727185431278,0.18925200444173695,0.6051266314312643
2.0,0.6062230147134788,0.1728801979816334,0.6004043755965819
3.0,0.6076380654599453,0.1724639977554374,0.6005178720288278
4.5,0.606246950545241,0.17861701303882926,0.6035833664233713
6.5,0.6071461647841622,0.19205511984116308,0.6003656044554181
9.0,0.6024020525133477,0.20204646648087113,0.6005246596095515
12.0,0.603130075988494,0.22035783348801932,0.6006038558488901
16.0,0.6032358542283329,0.2292955965756594,0.6050509520431951
20.0,0.6068180693256767,0.24768135656395499,0.6004105808861346
