epsilon,pi_v,pi_e,PrivDPR
0.5,0.9992701105997115,0.0008088891942021021,0.0
0.75,0.9992701105997115,0.0005358246891529849,0.0
1.0,0.9992701105997115,0.0004018685168647386,0.0
1.5,0.9992701105997115,0.00026791234457649237,0.0
2.0,0.9992701105997115,0.00020436903208078584,0.0
3.0,0.9992701105997115,0.0001356735591124545,0.0
4.5,0.9992701105997115,8.758672803462252e-05,0.0
6.5,0.9992701105997115,6.526069931991481e-05,0.0
9.0,0.9992701105997115,4.8086831077831974e-05,0.0
12.0,0.9992701105997115,3.4347736484165694e-05,0.0
16.0,0.9992701105997115,2.4043415538915987e-05,0.0
20.0,0.9992701105997115,1.7173868242082847e-05,0.0
