epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.8281285527719311,0.7515365831121028,0.07028025834332795,0.5252840824810553
0.75,0.8282404863525358,0.7479445212346025,0.08180804384281601,0.5252551656225686
1.0,0.8283909047639069,0.7464191687597559,0.08779176901135247,0.5252139831886415
1.5,0.8283072210351323,0.7499643606597225,0.096652433571943,0.5246034712640368
2.0,0.828273209345805,0.7481590361439607,0.10890004493546371,0.5246085099657772
3.0,0.8281496641703585,0.7452994449907491,0.12552429425324213,0.5252415057520095
4.5,0.8282907654857663,0.7458821452025254,0.13397639026684532,0.5225789342354307
6.5,0.8280539767318403,0.7459061776720884,0.13922948424759896,0.5243672624325422
9.0,0.828213651117751,0.7502256260704623,0.14359868019976194,0.5259158380132716
12.0,0.8283341008456964,0.751185996509597,0.14779780948615318,0.5252362957754428
16.0,0.8285929511580827,0.7482477727592027,0.15136902224404641,0.5255969611071725
20.0,0.8282977537493107,0.7455004883365006,0.15367031053175437,0.5243816727226368
