epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.0,0.9802426343154247,0.011438474870017331,0.0
0.75,0.0,0.9802426343154247,0.007625649913344887,0.0
1.0,0.0,0.9802426343154247,0.005743996038623422,0.0
1.5,0.0,0.9802426343154247,0.0037880663530576878,0.0
2.0,0.0,0.9802426343154247,0.002871998019311711,0.0
3.0,0.0,0.9802426343154247,0.0019064124783362217,0.0
4.5,0.0,0.9802426343154247,0.0012874473879673186,0.0
6.5,0.0,0.9802426343154247,0.0008665511265164644,0.0
9.0,0.0,0.9802426343154247,0.0006437236939836593,0.0
12.0,0.0,0.9802426343154247,0.0004951720722951226,0.0
16.0,0.0,0.9802426343154247,0.0003218618469918297,0.0
20.0,0.0,0.9802426343154247,0.0002475860361475613,0.0
