epsilon,pi_v,pi_e,PrivDPR
0.5,0.025962360910018266,5.953060278758331e-05,7.306802079390547e-05
0.75,0.025962360910018266,5.953060278758331e-05,7.305077889318111e-05
1.0,0.025962360910018266,5.953060278758331e-05,7.305384242861454e-05
1.5,0.025962360910018273,5.953060278758331e-05,7.306260123844433e-05
2.0,0.025962360910018266,5.953060278758331e-05,7.306145714581942e-05
3.0,0.025962360910018273,5.953060278758331e-05,7.308703674196768e-05
4.5,0.025962360910018266,5.953060278758331e-05,7.30377979486294e-05
6.5,0.025962360910018262,5.953060278758331e-05,7.306614550852098e-05
9.0,0.025962360910018266,5.953060278758331e-05,7.303443478039892e-05
12.0,0.025962360910018266,5.953060278758331e-05,7.308804325273725e-05
16.0,0.025962360910018273,5.953060278758331e-05,7.303969029041022e-05
20.0,0.025962360910018266,5.953060278758331e-05,7.303437499574426e-05
