epsilon,pi_v,pi_e,PrivDPR
0.5,0.3309558995388315,13981.496927433063,0.040701257874118525
0.75,0.3309558995388315,18865.533971007215,0.040687619989005434
1.0,0.3309558995388315,19734.254307511746,0.040698083919697196
1.5,0.33095589953883153,17780.072460798565,0.04070919069857619
2.0,0.3309558995388315,14665.813267713524,0.04069443729587374
3.0,0.3309558995388315,13197.800646441277,0.04071661773623829
4.5,0.3309558995388315,18852.138147599788,0.04068941363102838
6.5,0.3309558995388315,19549.718662534066,0.040704519218900184
9.0,0.3309558995388315,14612.205843206128,0.04068699468216511
12.0,0.3309558995388315,14134.261157576726,0.040699899033386826
16.0,0.3309558995388315,14287.460379903085,0.04070839898889788
20.0,0.3309558995388315,15054.211892422862,0.040692063436043535
