epsilon,pi_v,pi_e,PrivDPR
0.5,5.19496442201716,15409.172711174542,350.7908380512873
0.75,5.19496442201716,14773.972711174545,340.6131988465439
1.0,5.1949644220171605,13199.047711174546,347.6451802038643
1.5,5.19496442201716,13825.014377841211,350.5385411777914
2.0,5.19496442201716,11246.62771117454,352.4525097409375
3.0,5.1949644220171605,10617.009377841212,343.5159778653553
4.5,5.1949644220171605,9799.29437784121,348.9427335814386
6.5,5.19496442201716,9394.979615936447,348.85671802884315
9.0,5.19496442201716,8613.753663555495,346.671960637085
12.0,5.19496442201716,7063.618266730099,346.43266200388723
16.0,5.1949644220171605,5534.495092126924,346.88110312855304
20.0,5.19496442201716,4946.284570148901,348.5213483575117
