epsilon,pi_v,pi_e,PrivDPR
0.5,0.5234352570161347,33750824.20352966,0.08149910398735694
0.75,0.5234352570161347,23074977.61021106,0.08150273044641716
1.0,0.5234352570161347,21800517.18799765,0.08150546912192815
1.5,0.5234352570161347,19354244.1890345,0.08150198378157786
2.0,0.5234352570161347,16139058.32852079,0.08150462827315896
3.0,0.5234352570161347,13856617.388688663,0.08150254208579678
4.5,0.5234352570161347,10109579.395758914,0.08150632222286905
6.5,0.5234352570161347,7917641.166251774,0.08150548846027046
9.0,0.5234352570161347,6307555.726996582,0.08150480724888531
12.0,0.5234352570161347,4847348.565724263,0.08150127625602557
16.0,0.5234352570161347,3741888.83814727,0.08150340765859057
20.0,0.5234352570161347,3189126.2089802544,0.08150144664209823
