epsilon,pi_v,pi_e,PrivDPR
0.5,0.3788813795404527,0.38143440734129747,0.3464483224433642
0.75,0.3801094756283605,0.4256839142446506,0.3457204433264497
1.0,0.3818675305195872,0.4206234259741951,0.3478944359725754
1.5,0.38312033760785785,0.42708753847104575,0.3460869374653583
2.0,0.3799696212925304,0.4265854660361977,0.34751479809591057
3.0,0.38232675177032005,0.43796721525554017,0.3461536497821697
4.5,0.381463470576715,0.4652491962502133,0.3477660507931183
6.5,0.3797442800174019,0.47908829170996514,0.34745383883176995
9.0,0.38255325150165737,0.49083863331533883,0.34617232887889654
12.0,0.38229433018900993,0.4977839460700939,0.34820043642421133
16.0,0.38259831337354827,0.5075792819636562,0.3481872896970516
20.0,0.3810421696936438,0.5142458649328688,0.3482772490120785
