epsilon,pi_v,pi_e,PrivDPR
0.5,0.9975305039787798,0.0012122015915119364,0.0
0.75,0.9975305039787798,0.0008090185676392573,0.0
1.0,0.9975305039787798,0.0006021220159151193,0.0
1.5,0.9975305039787798,0.000403183023872679,0.0
2.0,0.9975305039787798,0.0003050397877984085,0.0
3.0,0.9975305039787798,0.00020424403183023874,0.0
4.5,0.9975305039787798,0.000129973474801061,0.0
6.5,0.9975305039787798,9.814323607427056e-05,0.0
9.0,0.9975305039787798,7.161803713527851e-05,0.0
12.0,0.9975305039787798,5.039787798408489e-05,0.0
16.0,0.9975305039787798,3.183023872679045e-05,0.0
20.0,0.9975305039787798,2.6525198938992044e-05,0.0
