epsilon,PrivCom,pi_v,pi_e,PrivDPR
0.5,33.19166169649763,33.728808487901325,3159.966359447005,229.27547318087915
0.75,33.19146502833473,33.728808487901325,2515.874692780338,223.8837215472699
1.0,33.19161307840041,33.72880848790133,2513.466359447005,224.38186017171557
1.5,33.191316222581506,33.72880848790133,2179.9713594470045,219.82732449234112
2.0,33.19166215112412,33.728808487901325,2090.0280261136713,227.49051269086863
3.0,33.19077125523157,33.728808487901325,2088.939692780338,228.61789713438208
4.5,33.19156327445555,33.728808487901325,2050.056359447005,224.8788786482334
6.5,33.191415601237225,33.728808487901325,1612.084915514593,224.27513634678257
9.0,33.191414974760306,33.72880848790132,1611.88935483871,221.34522841637408
12.0,33.19190479203436,33.728808487901325,1560.9410253456222,229.40773923888491
16.0,33.191018814952386,33.72880848790133,1199.9622465437785,226.7299058088196
20.0,33.19146603713541,33.728808487901325,1178.3015144532885,221.09335381464408
