epsilon,Non-Private,pi_v,pi_e,PrivDPR
0.5,0.00012628324885460737,0.49920599457286735,5.4182749324111334e-09,0.0018588653790753986
0.75,0.00012628324885460737,0.49920599457286735,5.656915380634672e-09,0.0018588691543946407
1.0,0.00012628324885460737,0.49920599457286735,5.127935621800781e-09,0.0018588832528524345
1.5,0.00012628324885460737,0.49920599457286735,6.780153404519944e-09,0.0018588794185438295
2.0,0.00012628324885460737,0.49920599457286735,6.250322330217439e-09,0.001858881660139629
3.0,0.00012628324885460737,0.49920599457286735,7.784487125622075e-09,0.0018588636093945037
4.5,0.00012628324885460737,0.49920599457286735,8.551950388183656e-09,0.0018588631964689619
6.5,0.00012628324885460737,0.49920599457286735,1.0380790774937599e-08,0.001858887146150403
9.0,0.00012628324885460737,0.49920599457286735,1.2976419969757166e-08,0.0018588777078522981
12.0,0.00012628324885460737,0.49920599457286735,1.4746327756652631e-08,0.0018588656150328512
16.0,0.00012628324885460737,0.49920599457286735,1.745997419977193e-08,0.001858877412905482
20.0,0.00012628324885460737,0.49920599457286735,2.0114681930138764e-08,0.0018588791235970136
