epsilon,Non-Private,pi_v,pi_e,PrivDPR
0.5,4.898245588083113,1.4899072995056277,223429395.84423465,2.740564161492822
0.75,4.898245588083113,1.4899072995056277,235091892.6696381,2.740567100905518
1.0,4.898245588083113,1.4899072995056277,226584881.21937934,2.740555172850826
1.5,4.898245588083113,1.4899072995056277,143418780.76180568,2.7405658490350944
2.0,4.898245588083113,1.4899072995056277,159495118.90417284,2.740558338189058
3.0,4.898245588083113,1.4899072995056277,111533063.6894758,2.7405578864318403
4.5,4.898245588083113,1.4899072995056277,101663350.65503608,2.7405632636442503
6.5,4.898245588083113,1.4899072995056277,79968580.17814575,2.7405605520682217
9.0,4.898245588083113,1.4899072995056277,63631004.94314911,2.7405607914984924
12.0,4.898245588083113,1.4899072995056277,56766646.24629581,2.7405657972608486
16.0,4.898245588083113,1.4899072995056277,48093584.30990415,2.740558303196598
20.0,4.898245588083113,1.4899072995056277,40959821.51877307,2.7405615693510312
