epsilon,Non-Private,PrivCom,pi_v,pi_e,PrivDPR
0.5,3.261811080029313,1.3312126178196102,1.3343222172425966,650765.455649109,4.192849112525228
0.75,3.261811080029313,1.3312133892570812,1.3343222172425966,596241.6606044163,4.193342602494512
1.0,3.261811080029313,1.3312129219974125,1.3343222172425966,521968.44463214895,4.192073680714631
1.5,3.261811080029313,1.3312145086072413,1.3343222172425966,419173.57886424864,4.193156472104547
2.0,3.261811080029313,1.331210792292191,1.3343222172425966,334293.577615072,4.1930397801097525
3.0,3.261811080029313,1.3312087263685357,1.3343222172425966,249413.02284862642,4.192535203294626
4.5,3.261811080029313,1.3312148781931552,1.3343222172425966,169311.93135191192,4.192426193266311
6.5,3.261811080029313,1.331213834884725,1.3343222172425966,130447.23243012451,4.193238627061804
9.0,3.261811080029313,1.3312179092879624,1.3343222172425966,102292.44025559763,4.191986294479396
12.0,3.261811080029313,1.331212335584345,1.3343222172425966,76977.81089728585,4.193299976296023
16.0,3.261811080029313,1.331213085379829,1.3343222172425966,59280.90687893824,4.192128838707282
20.0,3.261811080029313,1.331224777136966,1.3343222172425966,47141.99627821452,4.192313266928898
