epsilon,Non-Private,PrivCom,pi_v,pi_e,PrivDPR
0.5,88234,4096857.2,2696.3,13.2,15140.1
0.75,88234,4096850.1,2696.3,15.8,15140.6
1.0,88234,4096854.4,2696.3,17.6,15142.2
1.5,88234,4096839.8,2696.3,20.5,15141.9
2.0,88234,4096874.0,2696.3,24.9,15142.1
3.0,88234,4096893.0,2696.3,32.2,15140.8
4.5,88234,4096836.4,2696.3,45.1,15141.0
6.5,88234,4096846.0,2696.3,57.1,15141.3
9.0,88234,4096808.5,2696.3,71.7,15142.8
12.0,88234,4096859.8,2696.3,93.3,15141.7
16.0,88234,4096852.9,2696.3,119.8,15141.6
20.0,88234,4096745.3,2696.3,149.1,15141.2
