epsilon,Non-Private,pi_v,pi_e,PrivDPR
0.5,-0.07521713413904482,-0.1804717388790923,-0.134103641456583,-0.00012208399894482897
0.75,-0.07521713413904482,-0.1804717388790923,-0.155343026538679,-0.00025784208196195853
1.0,-0.07521713413904482,-0.1804717388790923,-0.16265711627553808,-0.00014803632441754967
1.5,-0.07521713413904482,-0.1804717388790923,-0.2644244644244642,-7.112200131987654e-05
2.0,-0.07521713413904482,-0.1804717388790923,-0.21299097264233072,0.00023283781850809413
3.0,-0.07521713413904482,-0.1804717388790923,-0.21319140705089593,-0.00047574029190447216
4.5,-0.07521713413904482,-0.1804717388790923,-0.20184027081685244,-7.210585168784136e-05
6.5,-0.07521713413904482,-0.1804717388790923,-0.18109838747412504,-0.00040323510238948323
9.0,-0.07521713413904482,-0.1804717388790923,-0.16175242286777908,-0.0002880577736731111
12.0,-0.07521713413904482,-0.1804717388790923,-0.1323665652916904,-0.00013854776988176434
16.0,-0.07521713413904482,-0.1804717388790923,-0.10481055350854737,0.00012163760273361898
20.0,-0.07521713413904482,-0.1804717388790923,-0.09200908473112193,-0.00041539157633409523
