epsilon,Non-Private,pi_v,pi_e,PrivDPR
0.5,3.0680379502546877,1.4621187172278702,103548812.5768414,2.8179956063097236
0.75,3.0680379502546877,1.4621187172278702,70794910.0774427,2.817984480195702
1.0,3.0680379502546877,1.4621187172278702,66884817.13599435,2.8179760778353007
1.5,3.0680379502546877,1.4621187172278702,59379558.73849206,2.817986770991765
2.0,3.0680379502546877,1.4621187172278702,49515246.50131372,2.817978657591235
3.0,3.0680379502546877,1.4621187172278702,42512631.078693785,2.817985058093233
4.5,3.0680379502546877,1.4621187172278702,31016576.315339148,2.8179734604892386
6.5,3.0680379502546877,1.4621187172278702,24291626.642597176,2.8179760185045324
9.0,3.0680379502546877,1.4621187172278702,19351823.411809757,2.817978108486914
12.0,3.0680379502546877,1.4621187172278702,14871852.425792616,2.81798894170701
16.0,3.0680379502546877,1.4621187172278702,11480260.029108195,2.8179824024830533
20.0,3.0680379502546877,1.4621187172278702,9784363.305341233,2.8179884189560727
