epsilon,Non-Private,pi_v,pi_e,PrivDPR
0.5,0.4536672984078442,0.07478591886739153,0.8351017057491417,0.10721897596448007
0.75,0.4536672984078442,0.0735578227794837,0.8793512126524947,0.10794685508139448
1.0,0.4536672984078442,0.07179976788825697,0.8742907243820394,0.10577286243526884
1.5,0.4536672984078442,0.07054696079998633,0.8807548368788899,0.10758036094248588
2.0,0.4536672984078442,0.07369767711531379,0.8802527644440419,0.10615250031193355
3.0,0.4536672984078442,0.07134054663752418,0.8916345136633843,0.10751364862567445
4.5,0.4536672984078442,0.07220382783112919,0.9189164946580576,0.10590124761472597
6.5,0.4536672984078442,0.07392301839044228,0.9327555901178093,0.10621345957607424
9.0,0.4536672984078442,0.0711140469061868,0.9445059317231831,0.10749496952894769
12.0,0.4536672984078442,0.07137296821883428,0.9514512444779382,0.10546686198363286
16.0,0.4536672984078442,0.07106898503429594,0.9612465803715005,0.10548000871079258
20.0,0.4536672984078442,0.07262512871420038,0.967913163340713,0.10539004939576575
