epsilon,Non-Private,PrivCom,pi_v,pi_e,PrivDPR
0.5,4.874223397958484,1.3318040209820008,1.3297144788202426,3749017.6941697197,3.5533114014814857
0.75,4.874223397958484,1.3318039996241553,1.3297144788202426,3913898.5449990304,3.553065414387691
1.0,4.874223397958484,1.3318043139625921,1.3297144788202426,3071275.7390866554,3.5530470141934587
1.5,4.874223397958484,1.3318036059416516,1.3297144788202426,2661763.0116996444,3.552799892790245
2.0,4.874223397958484,1.3318043322601791,1.3297144788202426,2299383.1310077966,3.5531372571300053
3.0,4.874223397958484,1.3318057244324455,1.3297144788202426,2228985.2371028406,3.5536036357432095
4.5,4.874223397958484,1.3318024678746931,1.3297144788202426,1937992.4400319476,3.553052824061247
6.5,4.874223397958484,1.3318024458843347,1.3297144788202426,1383597.0179714386,3.5534984316090084
9.0,4.874223397958484,1.3318057027321486,1.3297144788202426,1338458.0369638274,3.55283478893958
12.0,4.874223397958484,1.3317927111425378,1.3297144788202426,1178132.45395054,3.552896936993082
16.0,4.874223397958484,1.3318001842267817,1.3297144788202426,921651.7059507023,3.5530536153878045
20.0,4.874223397958484,1.331800529799779,1.3297144788202426,787796.9632787411,3.553210469698329
