epsilon,Non-Private,PrivCom,pi_v,pi_e,PrivDPR
0.5,0.8142873207073501,0.004647164341770494,0.10083380385842203,0.8514128295946477,0.1936069961525397
0.75,0.8142873207073501,0.004740756227174616,0.09971292102320542,0.8198281552687148,0.19469102515070674
1.0,0.8142873207073501,0.00467992421576445,0.10360272669815189,0.8517559607099651,0.1943147146426873
1.5,0.8142873207073501,0.004639507655293261,0.09541971460921267,0.8354213898558775,0.19276334263068787
2.0,0.8142873207073501,0.004688557386173883,0.10293661962675091,0.8581362620310339,0.1918580193219637
3.0,0.8142873207073501,0.004669248903393498,0.1022103391466694,0.8587059908585237,0.1942227008744971
4.5,0.8142873207073501,0.004691956989811225,0.10131981665200966,0.8684416736134601,0.1946672142949917
6.5,0.8142873207073501,0.004646164894498308,0.10271174893502037,0.8813522246228256,0.19376111966390153
9.0,0.8142873207073501,0.0046463888086789775,0.10210655149941868,0.8970902125695724,0.1948916723335257
12.0,0.8142873207073501,0.004625274530184525,0.10391916524443992,0.9018053197870387,0.1925543176002265
16.0,0.8142873207073501,0.004683291479871393,0.10285278347487373,0.9045055824164852,0.19449714477414046
20.0,0.8142873207073501,0.004500775019199108,0.10321173123379992,0.9191691100134574,0.19116134218556088
