epsilon,Non-Private,PrivCom,pi_v,pi_e,PrivDPR
0.5,27806,14579490.6,4977.6,9.0,53978.3
0.75,27806,14579491.3,4977.6,9.3,53980.6
1.0,27806,14579481.0,4977.6,11.1,53981.3
1.5,27806,14579504.2,4977.6,11.0,53980.9
2.0,27806,14579480.4,4977.6,12.5,53984.5
3.0,27806,14579434.8,4977.6,12.9,53982.4
4.5,27806,14579541.5,4977.6,14.7,53980.1
6.5,27806,14579542.2,4977.6,17.8,53980.5
9.0,27806,14579435.5,4977.6,19.3,53985.4
12.0,27806,14579861.2,4977.6,21.0,53981.4
16.0,27806,14579616.3,4977.6,25.3,53979.7
20.0,27806,14579605.0,4977.6,29.1,53983.1
